Mapping project name,ESCO - CO-SISPE
Mapping project author,default-author
Mapping project version,N/A
Mapping project version date,2022-03-30
Classification 1 Name,Ocupaciones ESCO
Classification 1 Concept type,Occupation
Classification 1 Version,1.0.8
Classification 1 Language,es
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation
Classification 2 Name,CO-SISPE 2011
Classification 2 Concept type,occupations
Classification 2 Version,1
Classification 2 Language,es
Classification 2 Landing page,


Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 ID,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
http://data.europa.eu/esco/occupation/d9e4581a-91b3-47f9-a2d5-70eb542caac5,operador de acabado y envasado de calzado/operadora de acabado y envasado de calzado,http://data.europa.eu/esco/occupation/d9e4581a-91b3-47f9-a2d5-70eb542caac5,41211078,REPARTIDORES DE FAENA INTERIOR APARADO (APARADO DE CALZADO),,skos:closeMatch
http://data.europa.eu/esco/occupation/a50d64e7-2dba-4418-81a7-92b2ba2e508f,solador/soladora,http://data.europa.eu/esco/occupation/a50d64e7-2dba-4418-81a7-92b2ba2e508f,72401073,"SOLADORES-ALICATADORES, EN GENERAL",,skos:exactMatch
http://data.europa.eu/esco/occupation/1488589a-7b83-471d-b094-492f5616f4e0,director del departamento de desarrollo de productos/directora del departamento de desarrollo de productos,http://data.europa.eu/esco/occupation/1488589a-7b83-471d-b094-492f5616f4e0,12211032,DIRECTORES DE DEPARTAMENTO DE MARKETING,,skos:broadMatch
http://data.europa.eu/esco/occupation/d6bffef4-f09a-4711-9ecb-92ec04353b21,trabajador social especializado en toxicomanías/trabajadora social especializada en toxicomanías,http://data.europa.eu/esco/occupation/d6bffef4-f09a-4711-9ecb-92ec04353b21,28241065,"TRABAJADORES SOCIALES ",,skos:broadMatch
http://data.europa.eu/esco/occupation/11695786-9fb7-4895-b161-0480419107e4,monitor deportivo/monitora deportiva,http://data.europa.eu/esco/occupation/11695786-9fb7-4895-b161-0480419107e4,37231013,"MONITORES ARTES MARCIALES, KÁRATE Y OTROS",,skos:narrowMatch
http://data.europa.eu/esco/occupation/985400a7-362f-4f91-941a-2e149d94ac2a,sumiller de cerveza,http://data.europa.eu/esco/occupation/985400a7-362f-4f91-941a-2e149d94ac2a,51201050,JEFES DE BARRA O CAFETERÍA,,skos:broadMatch
http://data.europa.eu/esco/occupation/ab7bccb2-6f81-4a3d-a0c0-fca5d47d2775,diseñador industrial/diseñadora industrial,http://data.europa.eu/esco/occupation/ab7bccb2-6f81-4a3d-a0c0-fca5d47d2775,31101035,DISEÑADORES TÉCNICOS INDUSTRIALES,,skos:exactMatch
http://data.europa.eu/esco/occupation/39e06c20-d262-44f9-a6a8-a0f3ba9e887c,maestro jabonero/maestra jabonera,http://data.europa.eu/esco/occupation/39e06c20-d262-44f9-a6a8-a0f3ba9e887c,81321014,"OPERADORES DE MÁQUINAS PARA ELABORAR PERFUMES, COSMÉTICOS Y DETERGENTES, EN GENERAL",,skos:closeMatch
http://data.europa.eu/esco/occupation/b5d1912e-89c7-4a66-ab96-0dc5f4f6c426,inmunólogo/inmunóloga,http://data.europa.eu/esco/occupation/b5d1912e-89c7-4a66-ab96-0dc5f4f6c426,24211103,INMUNÓLOGOS,,skos:exactMatch
http://data.europa.eu/esco/occupation/bf89925d-00a1-4f94-ab3b-2148c887af33,comerciante propietario de tienda/comerciante propietaria de tienda,http://data.europa.eu/esco/occupation/bf89925d-00a1-4f94-ab3b-2148c887af33,53001012,COMERCIANTES PROPIETARIOS DE TIENDAS,,skos:exactMatch
http://data.europa.eu/esco/occupation/f5aa06b0-745e-4eb1-b050-3e15d11e5eb5,supervisor de procesos químicos/supervisora de procesos químicos,http://data.europa.eu/esco/occupation/f5aa06b0-745e-4eb1-b050-3e15d11e5eb5,32041031,"JEFES DE EQUIPO EN INSTALACIONES PARA FABRICAR PRODUCTOS QUÍMICOS, EXCEPTO FARMACÉUTICOS Y COSMÉTICOS",,skos:exactMatch
http://data.europa.eu/esco/occupation/d0c923f1-e32b-4838-a109-eac58945dab1,lutier,http://data.europa.eu/esco/occupation/d0c923f1-e32b-4838-a109-eac58945dab1,76121023,CONSTRUCTORES DE INSTRUMENTOS DE CUERDA (LUTIERES),,skos:exactMatch
http://data.europa.eu/esco/occupation/98c3d8f8-e3a8-49b7-9e58-236f25a6f6a0,configurador de sistemas/configuradora de sistemas,http://data.europa.eu/esco/occupation/98c3d8f8-e3a8-49b7-9e58-236f25a6f6a0,27211018,ADMINISTRADORES DE SISTEMAS DE REDES,,skos:narrowMatch
http://data.europa.eu/esco/occupation/36095ccd-c62d-4f1f-8af7-1fd10618b044,editor de sonido/editora de sonido,http://data.europa.eu/esco/occupation/36095ccd-c62d-4f1f-8af7-1fd10618b044,38311064,"MONTADORES MUSICALES DE EFECTOS SONOROS DE RADIO, CINE Y TELEVISIÓN.",,skos:narrowMatch
http://data.europa.eu/esco/occupation/0cd729a6-ed11-4338-ac4b-d4b924390128,historiador/historiadora,http://data.europa.eu/esco/occupation/0cd729a6-ed11-4338-ac4b-d4b924390128,28221023,HISTORIADORES,,skos:exactMatch
http://data.europa.eu/esco/occupation/6219f0ef-6414-4d01-9221-41ac25dcb409,técnico/a de codificación de documentación sanitaria,http://data.europa.eu/esco/occupation/6219f0ef-6414-4d01-9221-41ac25dcb409,33221018,TÉCNICOS SUPERIORES EN DOCUMENTACIÓN SANITARIA,,skos:broadMatch
http://data.europa.eu/esco/occupation/ea4aff10-4d20-4a2b-886b-299c2bd349f1,impresor offset/impresora offset,http://data.europa.eu/esco/occupation/ea4aff10-4d20-4a2b-886b-299c2bd349f1,81421048,OPERADORES DE MÁQUINA DE IMPRESIÓN EN PLÁSTICOS,,skos:narrowMatch
http://data.europa.eu/esco/occupation/8b490c1a-2f8c-4693-bcfa-ecfc88838a8e,inspector de motores de vehículos/inspectora de motores de vehículos,http://data.europa.eu/esco/occupation/8b490c1a-2f8c-4693-bcfa-ecfc88838a8e,7401,Mecánicos y ajustadores de vehículos de motor,,skos:broadMatch
http://data.europa.eu/esco/occupation/2082e125-d06b-43e6-957f-b7aa3c48dc2f,cortador de piezas de calzado por ordenador/cortadora de piezas de calzado por ordenador,http://data.europa.eu/esco/occupation/2082e125-d06b-43e6-957f-b7aa3c48dc2f,81561463,CORTADORES DE PIEZAS DE CALZADO POR ORDENADOR,,skos:exactMatch
http://data.europa.eu/esco/occupation/d21890a3-cbe9-49df-9a19-a4120d866548,notario/notaria,http://data.europa.eu/esco/occupation/d21890a3-cbe9-49df-9a19-a4120d866548,25911015,NOTARIOS,,skos:exactMatch
http://data.europa.eu/esco/occupation/b8b98b65-7db2-43f8-8ac4-2f1903984e7b,policía municipal,http://data.europa.eu/esco/occupation/b8b98b65-7db2-43f8-8ac4-2f1903984e7b,59231017,POLICÍAS O GUARDIAS MUNICIPALES,,skos:exactMatch
http://data.europa.eu/esco/occupation/0633ec3f-91f1-4038-bc29-e0ec4cd7f1e9,director de producción de gas y petróleo/directora de producción de gas y petróleo,http://data.europa.eu/esco/occupation/0633ec3f-91f1-4038-bc29-e0ec4cd7f1e9,13141017,DIRECTORES DE EXPLOTACIONES MINERAS,,skos:broadMatch
http://data.europa.eu/esco/occupation/2aae7736-f58b-4027-8de4-6884281c3b0b,dinamitero/dinamitera,http://data.europa.eu/esco/occupation/2aae7736-f58b-4027-8de4-6884281c3b0b,78921021,ARTILLEROS DE MINAS,,skos:narrowMatch
http://data.europa.eu/esco/occupation/07b91f36-8272-493a-8e1c-5625e77efe68,bailarín/bailarina,http://data.europa.eu/esco/occupation/07b91f36-8272-493a-8e1c-5625e77efe68,29331046,BAILARINES DE SALAS DE FIESTAS Y SIMILARES,,skos:narrowMatch
http://data.europa.eu/esco/occupation/b789dae6-6c77-4f46-9253-098c424c92f2,"especialista en importación y exportación de pescado, crustáceos y moluscos",http://data.europa.eu/esco/occupation/b789dae6-6c77-4f46-9253-098c424c92f2,35221023,TÉCNICOS EN COMERCIO EXTERIOR,,skos:broadMatch
http://data.europa.eu/esco/occupation/22799921-76a1-44c4-a7c3-c6a548e8ad85,artista circenses,http://data.europa.eu/esco/occupation/22799921-76a1-44c4-a7c3-c6a548e8ad85,29371011,ARTISTAS DE ESPECTÁCULOS CÓMICOS-TAURINOS,,skos:closeMatch
http://data.europa.eu/esco/occupation/b864c9a3-ef6e-46a0-a40c-66188f74dfa7,coronel del Ejército,http://data.europa.eu/esco/occupation/b864c9a3-ef6e-46a0-a40c-66188f74dfa7,00111010,OFICIALES DE LAS FUERZAS ARMADAS,,skos:broadMatch
http://data.europa.eu/esco/occupation/dc29cd23-d6ba-46b0-bc2f-424e20270099,director de importación y exportación de frutas y verduras/directora de importación y exportación de frutas y verduras,http://data.europa.eu/esco/occupation/dc29cd23-d6ba-46b0-bc2f-424e20270099,35221023,TÉCNICOS EN COMERCIO EXTERIOR,,skos:broadMatch
http://data.europa.eu/esco/occupation/b9b47087-6045-405d-b769-6a0c94e2eb84,director de mediación y programas educativos en centros artísticos y culturales/directora de mediación y programas educativos en centros artísticos y culturales,http://data.europa.eu/esco/occupation/b9b47087-6045-405d-b769-6a0c94e2eb84,13261012,DIRECTORES DE DEPARTAMENTO DE OPERACIONES EN EMPRESAS DE ACTIVIDADES EDUCATIVAS Y/O SOCIOCULTURALES,,skos:broadMatch
http://data.europa.eu/esco/occupation/11830794-108c-48fe-a282-2cd7a2945344,"diseñador de juegos de azar, apuestas y loterías/diseñadora de juegos de azar, apuestas y loterías",http://data.europa.eu/esco/occupation/11830794-108c-48fe-a282-2cd7a2945344,24841012,DISEÑADORES GRÁFICOS Y MULTIMEDIA,,skos:broadMatch
