Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
Mapping project name,ESCO - SE NOC,,,,,,
Mapping project author,default-author,,,,,,
Mapping project version,,,,,,,
Mapping project version date,csv_generator$today@1751f89f,,,,,,
Classification 1 Name,Esco - yrken,,,,,,
Classification 1 Concept type,Occupation,,,,,,
Classification 1 Version,1.1.1,,,,,,
Classification 1 Language,sv,,,,,,
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation,,,,,,
Classification 2 Name,Swedish Standard Classification of Occupations 2012,,,,,,
Classification 2 Concept type,Occupation,,,,,,
Classification 2 Version,18,,,,,,
Classification 2 Language,sv,,,,,,
Classification 2 Landing page,https://atlas.jobtechdev.se/,,,,,,
,,,,,,,
,,,,,,,
Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 URI,Classification 2 PrefLabel,Classification 2 URL,Mapping relation,Editorial note
http://data.europa.eu/esco/occupation/a50d64e7-2dba-4418-81a7-92b2ba2e508f,terrazzoarbetare,http://data.europa.eu/esco/occupation/a50d64e7-2dba-4418-81a7-92b2ba2e508f,http://data.jobtechdev.se/taxonomy/concept/4eaw_x3V_ddY,"Golvläggare, utan yrkesbevis",http://data.jobtechdev.se/taxonomy/concept/4eaw_x3V_ddY,skos:broadMatch,
http://data.europa.eu/esco/occupation/a50d64e7-2dba-4418-81a7-92b2ba2e508f,terrazzoarbetare,http://data.europa.eu/esco/occupation/a50d64e7-2dba-4418-81a7-92b2ba2e508f,http://data.jobtechdev.se/taxonomy/concept/bjAo_61d_BEc,"Lärling, golvläggare",http://data.jobtechdev.se/taxonomy/concept/bjAo_61d_BEc,skos:broadMatch,
http://data.europa.eu/esco/occupation/18fa8080-3156-429a-bbd7-b3ef559b6721,ställningsbyggare,http://data.europa.eu/esco/occupation/18fa8080-3156-429a-bbd7-b3ef559b6721,http://data.jobtechdev.se/taxonomy/concept/cQd3_2n5_cpN,Ställningsbyggare,http://data.jobtechdev.se/taxonomy/concept/cQd3_2n5_cpN,skos:exactMatch,
http://data.europa.eu/esco/occupation/18fa8080-3156-429a-bbd7-b3ef559b6721,ställningsbyggare,http://data.europa.eu/esco/occupation/18fa8080-3156-429a-bbd7-b3ef559b6721,http://data.jobtechdev.se/taxonomy/concept/6nam_Ct6_oK7,"Lärling, ställningsbyggare",http://data.jobtechdev.se/taxonomy/concept/6nam_Ct6_oK7,skos:exactMatch,
http://data.europa.eu/esco/occupation/41a8e7c8-e1d8-4984-9b3c-dbbad1699f83,innertaksmontör,http://data.europa.eu/esco/occupation/41a8e7c8-e1d8-4984-9b3c-dbbad1699f83,http://data.jobtechdev.se/taxonomy/concept/pSke_JBu_461,Undertaksmontör,http://data.jobtechdev.se/taxonomy/concept/pSke_JBu_461,skos:broadMatch,
http://data.europa.eu/esco/occupation/89a6d6e5-8362-4b99-b745-1c68bffbda77,"avloppstekniker, slamsugning",http://data.europa.eu/esco/occupation/89a6d6e5-8362-4b99-b745-1c68bffbda77,http://data.jobtechdev.se/taxonomy/concept/koFa_Uru_qCP,VVS-montörer m.fl.,http://data.jobtechdev.se/taxonomy/concept/koFa_Uru_qCP,skos:broadMatch,
http://data.europa.eu/esco/occupation/3df28a39-9bfe-4e36-b394-a189ef967a74,badrumsinstallatör,http://data.europa.eu/esco/occupation/3df28a39-9bfe-4e36-b394-a189ef967a74,http://data.jobtechdev.se/taxonomy/concept/ZZTi_v6g_4cZ,VVS-montör,http://data.jobtechdev.se/taxonomy/concept/ZZTi_v6g_4cZ,skos:exactMatch,
http://data.europa.eu/esco/occupation/97b3cab1-f4f0-41ed-8c80-e65e6c067e95,gasinstallatör,http://data.europa.eu/esco/occupation/97b3cab1-f4f0-41ed-8c80-e65e6c067e95,http://data.jobtechdev.se/taxonomy/concept/mvnD_QKo_UPh,Industrirörmontör,http://data.jobtechdev.se/taxonomy/concept/mvnD_QKo_UPh,skos:broadMatch,
http://data.europa.eu/esco/occupation/73d77554-2016-46fa-ac3d-44a02e8d1a89,ledningstekniker,http://data.europa.eu/esco/occupation/73d77554-2016-46fa-ac3d-44a02e8d1a89,http://data.jobtechdev.se/taxonomy/concept/MQHi_q9J_x2d,Väg- och anläggningsarbetare,http://data.jobtechdev.se/taxonomy/concept/MQHi_q9J_x2d,skos:broadMatch,
http://data.europa.eu/esco/occupation/73d77554-2016-46fa-ac3d-44a02e8d1a89,ledningstekniker,http://data.europa.eu/esco/occupation/73d77554-2016-46fa-ac3d-44a02e8d1a89,http://data.jobtechdev.se/taxonomy/concept/bpwq_MEr_hvP,"Väg- och anläggningsarbetare, utan yrkesbevis",http://data.jobtechdev.se/taxonomy/concept/bpwq_MEr_hvP,skos:broadMatch,
