Mapping project name,ESCO - SE NSC;
Mapping project author,default-author;
Mapping project version,N/A;
Mapping project version date,45243;
Classification 1 Name,Esco - kompetenser;
Classification 1 Concept type,Skills;
Classification 1 Version,1.0.9;
Classification 1 Language,sv;
Classification 1 Landing page,https://ec.europa.eu/esco/portal/skill;
Classification 2 Name,Swedish skills;
Classification 2 Concept type,Skill;
Classification 2 Version,21;
Classification 2 Language,sv;
Classification 2 Landing page,https://atlas.jobtechdev.se/;
,;
,;
Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 URI,Classification 2 PrefLabel,Classification 2 URL,Mapping relation,Editorial note;
"http://data.europa.eu/esco/skill/0868eef3-2213-4572-9343-74931345a7d3,administrera IT-system,,http://data.jobtechdev.se/taxonomy/concept/k5XN_2ar_j7D,""Terminalserver, övervakning"",,skos:narrowMatch,";
"http://data.europa.eu/esco/skill/0868eef3-2213-4572-9343-74931345a7d3,administrera IT-system,,http://data.jobtechdev.se/taxonomy/concept/C4Ev_voX_wwz,""Nätverk, övervakning"",,skos:narrowMatch,";
http://data.europa.eu/esco/skill/514210f5-9471-48ee-bb62-0160001522c5,administrera kontrastmedel,,http://data.jobtechdev.se/taxonomy/concept/aBHv_9Df_NWV,Datortomografi/DT,,skos:broadMatch,;
http://data.europa.eu/esco/skill/514210f5-9471-48ee-bb62-0160001522c5,administrera kontrastmedel,,http://data.jobtechdev.se/taxonomy/concept/jv2V_UoY_8XH,Medicinsk radiologi,,skos:broadMatch,;
http://data.europa.eu/esco/skill/70475d94-c3e3-453d-a120-4ff6b6c6141e,administrera leasingavtal,,http://data.jobtechdev.se/taxonomy/concept/egS2_otg_r9x,Leasingavtal,,skos:broadMatch,;
"http://data.europa.eu/esco/skill/e9d625ad-ea81-4ff8-b3fe-ccc1bea65cb5,administrera läkemedel för att underlätta befruktning,,http://data.jobtechdev.se/taxonomy/concept/6md5_wPp_d4S,""Djuruppfödning, lantbruk"",,skos:broadMatch,";
http://data.europa.eu/esco/skill/f199955e-870e-4f44-aa65-51694449b6ce,administrera läkemedel i en akut situation,,http://data.jobtechdev.se/taxonomy/concept/eiAk_5vQ_2NY,Ambulanssjukvård,,skos:broadMatch,;
http://data.europa.eu/esco/skill/f199955e-870e-4f44-aa65-51694449b6ce,administrera läkemedel i en akut situation,,http://data.jobtechdev.se/taxonomy/concept/azXF_rgu_EWv,Akutsjukvård,,skos:broadMatch,;
http://data.europa.eu/esco/skill/fb89a5bd-8f5e-43fd-9d08-907bd6d6e344,administrera läkemedel mot synproblem,,http://data.jobtechdev.se/taxonomy/concept/xoDp_Uax_PWL,Ögonsjukdomar,,skos:closeMatch,;
http://data.europa.eu/esco/skill/52f6fca4-1ab6-4588-983d-15a278148961,administrera multimodal logistik,,http://data.jobtechdev.se/taxonomy/concept/yXmf_iKi_7ci,Logistik,,skos:broadMatch,;
http://data.europa.eu/esco/skill/1fd57242-267e-46df-bd8c-849fdd593a50,administrera ordinerade läkemedel,,,,,no relation,;
http://data.europa.eu/esco/skill/e952e573-6a42-4d57-ab9e-70902547cf48,administrera prov,,http://data.jobtechdev.se/taxonomy/concept/oLnc_YZn_3bm,Utbildningsplanering,,skos:broadMatch,;
