Mapping project name,ESCO to Dutch NOC,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Mapping project author,default-author,,,,,
Mapping project version,,,,,,
Mapping project version date,22-8-2021,,,,,
Classification 1 Name,ESCO mapping,,,,,
Classification 1 Concept type,Occupation,,,,,
Classification 1 Version,1.0.3,,,,,
Classification 1 Language,nl,,,,,
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation,,,,,
Classification 2 Name,Dutch NOC,,,,,
Classification 2 Concept type,occupations,,,,,
Classification 2 Version,21.1,,,,,
Classification 2 Language,nl,,,,,
Classification 2 Landing page,,,,,,
,,,,,,
,,,,,,
Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 ID,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
http://data.europa.eu/esco/occupation/0249b723-1d20-4ff9-8623-d20b98d0b4a4,shoe and leather accessories shop manager,http://data.europa.eu/esco/occupation/0249b723-1d20-4ff9-8623-d20b98d0b4a4,1000410444,Afdelingsmanager verkoop schoenen en lederwaren,,skos:narrowMatch
http://data.europa.eu/esco/occupation/9703fe09-51fd-4d00-a2a1-99ba809521ac,sporting and outdoor accessories shop manager,http://data.europa.eu/esco/occupation/9703fe09-51fd-4d00-a2a1-99ba809521ac,1000410452,Afdelingsmanager verkoop sport- en kampeerartikelen,,skos:narrowMatch
http://data.europa.eu/esco/occupation/0c849f7b-fa3b-4faf-8501-0e50cd200ba1,telecommunication equipment shop manager,http://data.europa.eu/esco/occupation/0c849f7b-fa3b-4faf-8501-0e50cd200ba1,1000410457,Afdelingsmanager verkoop telecomartikelen,,skos:narrowMatch
http://data.europa.eu/esco/occupation/9beeb1f0-5aca-4bde-bae9-c74ddb94fac3,textile shop manager,http://data.europa.eu/esco/occupation/9beeb1f0-5aca-4bde-bae9-c74ddb94fac3,1000410461,Afdelingsmanager verkoop textiel (stoffen),,skos:narrowMatch
http://data.europa.eu/esco/occupation/2ce45b9f-ebfb-4105-8e12-690ba2bf00aa,toys and games shop manager,http://data.europa.eu/esco/occupation/2ce45b9f-ebfb-4105-8e12-690ba2bf00aa,1000410449,Afdelingsmanager verkoop speelgoed,,skos:narrowMatch
http://data.europa.eu/esco/occupation/eda6cb5e-c27a-4661-b536-eadeb387dee3,bicycle shop manager,http://data.europa.eu/esco/occupation/eda6cb5e-c27a-4661-b536-eadeb387dee3,1000410441,Afdelingsmanager verkoop rijwielen,,skos:narrowMatch
http://data.europa.eu/esco/occupation/3a8ac6cd-b59a-4b93-b071-0324e895b8e4,building materials shop manager,http://data.europa.eu/esco/occupation/3a8ac6cd-b59a-4b93-b071-0324e895b8e4,1000410357,Afdelingsmanager bouwmarkt,,skos:narrowMatch
http://data.europa.eu/esco/occupation/b7744a45-a4ce-4037-b679-3d2377e17f31,supermarket manager,http://data.europa.eu/esco/occupation/b7744a45-a4ce-4037-b679-3d2377e17f31,1000410349,Afdelingsmanager supermarkt (houdbare producten),,skos:narrowMatch
http://data.europa.eu/esco/occupation/b7744a45-a4ce-4037-b679-3d2377e17f31,supermarket manager,http://data.europa.eu/esco/occupation/b7744a45-a4ce-4037-b679-3d2377e17f31,1000410353,Afdelingsmanager versgroepen supermarkt,,skos:narrowMatch
http://data.europa.eu/esco/occupation/2d6a1cc1-cd13-42c5-a2b1-f0183bd0d253,technical sales representative in agricultural machinery and equipment,http://data.europa.eu/esco/occupation/2d6a1cc1-cd13-42c5-a2b1-f0183bd0d253,1000410487,"Verkoopleider tractoren, landbouw- en grondverzetmachines",,skos:narrowMatch
http://data.europa.eu/esco/occupation/c76dda38-938c-404e-8a6d-78c8705eebc0,checkout supervisor,http://data.europa.eu/esco/occupation/c76dda38-938c-404e-8a6d-78c8705eebc0,1000406692,Afdelingsmanager kassa detailhandel,,skos:exactMatch
http://data.europa.eu/esco/occupation/6a163fef-dee8-4583-82b0-13b76d8a27b2,motor vehicles specialised seller,http://data.europa.eu/esco/occupation/6a163fef-dee8-4583-82b0-13b76d8a27b2,1000410480,Verkoopleider bedrijfsauto's,,skos:broadMatch
http://data.europa.eu/esco/occupation/6a163fef-dee8-4583-82b0-13b76d8a27b2,motor vehicles specialised seller,http://data.europa.eu/esco/occupation/6a163fef-dee8-4583-82b0-13b76d8a27b2,1000410484,Verkoopleider personenauto's,,skos:narrowMatch
