Mapping project name,ESCO - Национална класификация,,,,,
Mapping project author,default-author,,,,,
Mapping project version,N/A,,,,,
Mapping project version date,2022-03-21,,,,,
Classification 1 Name,Професии в ESCO,,,,,
Classification 1 Concept type,Occupation,,,,,
Classification 1 Version,1.0.3,,,,,
Classification 1 Language,bg,,,,,
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation,,,,,
Classification 2 Name,Национална класификация на професиите и длъжностите,,,,,
Classification 2 Concept type,occupations,,,,,
Classification 2 Version,2011,,,,,
Classification 2 Language,bg,,,,,
Classification 2 Landing page,https://mlsp.government.bg/nkpd/,,,,,
,,,,,,
,,,,,,
Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 URI,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
http://data.europa.eu/esco/occupation/c0489e22-6a1b-4e52-974a-eb71bbb42134,"експерт, връзки с обществеността",http://data.europa.eu/esco/occupation/c0489e22-6a1b-4e52-974a-eb71bbb42134,http://data.europa.eu/esco/concept/bulgarian-occupations/24326001,"Експерт, връзки с обществеността",,skos:exactMatch
http://data.europa.eu/esco/occupation/47300afa-5496-484c-8f65-14247a98b2b8,"работник, гражданско строителство",http://data.europa.eu/esco/occupation/47300afa-5496-484c-8f65-14247a98b2b8,http://data.europa.eu/esco/concept/bulgarian-occupations/93120002,Земекопач,,skos:narrowMatch
http://data.europa.eu/esco/occupation/c430500d-0b8b-4ef5-8f91-3e98cff32356,"ръководител, внос и износ на тютюневи изделия",http://data.europa.eu/esco/occupation/c430500d-0b8b-4ef5-8f91-3e98cff32356,http://data.europa.eu/esco/isco/C1324,"Ръководители на звена за доставки, дистрибуция и сродни на тях",,skos:broadMatch
http://data.europa.eu/esco/occupation/06ac0f53-431e-4bc6-acb8-2f5da041b5d3,репетитор,http://data.europa.eu/esco/occupation/06ac0f53-431e-4bc6-acb8-2f5da041b5d3,http://data.europa.eu/esco/concept/bulgarian-occupations/26533005,Балетен репетитор,,skos:broadMatch
http://data.europa.eu/esco/occupation/02375132-3290-4221-bf55-d93ec61a3bf3,тъкач,http://data.europa.eu/esco/occupation/02375132-3290-4221-bf55-d93ec61a3bf3,http://data.europa.eu/esco/isco/C7318,"Майстори занаятчии на изделия от текстил, кожа и сродни материали",,skos:broadMatch
http://data.europa.eu/esco/isco/C3423,Фитнес инструктори и ръководители на програми за отдих и спорт,http://data.europa.eu/esco/isco/C3423,http://data.europa.eu/esco/concept/bulgarian-occupations/34233002,"Инструктор, парашутизъм",,skos:narrowMatch
http://data.europa.eu/esco/occupation/8467dda9-34c6-4c6f-aa37-e7bddffac007,специалист в областта на здравеопазването на водните животни,http://data.europa.eu/esco/occupation/8467dda9-34c6-4c6f-aa37-e7bddffac007,http://data.europa.eu/esco/concept/bulgarian-occupations/22507003,Ветеринар,,skos:narrowMatch
http://data.europa.eu/esco/occupation/a79e7622-2307-44e2-94cc-d1ff1caf655a,"директор, младежки програми",http://data.europa.eu/esco/occupation/a79e7622-2307-44e2-94cc-d1ff1caf655a,http://data.europa.eu/esco/isco/C1344,Ръководители на социални грижи,,skos:broadMatch
http://data.europa.eu/esco/isco/C2412,Финансови и инвестиционни консултанти,http://data.europa.eu/esco/isco/C2412,http://data.europa.eu/esco/concept/bulgarian-occupations/24126004,"Експерт, имуществено планиране ",,skos:narrowMatch
http://data.europa.eu/esco/occupation/ed3cf43d-c2c1-4c46-82fc-1375e27e0290,водопроводчик,http://data.europa.eu/esco/occupation/ed3cf43d-c2c1-4c46-82fc-1375e27e0290,http://data.europa.eu/esco/concept/bulgarian-occupations/71262006,"Изготвител, корабни тръбни инсталации",,skos:narrowMatch
http://data.europa.eu/esco/isco/C3359,"Приложни специалисти в държавната администрация, некласифицирани другаде",http://data.europa.eu/esco/isco/C3359,http://data.europa.eu/esco/concept/bulgarian-occupations/33593004,"Стажант, министерство и друго специализирано бюджетно звено",,skos:narrowMatch
http://data.europa.eu/esco/occupation/36b11444-8634-4194-b679-ed302acdfb22,пекар на кафе/пекарка на кафе,http://data.europa.eu/esco/occupation/36b11444-8634-4194-b679-ed302acdfb22,http://data.europa.eu/esco/concept/bulgarian-occupations/81602058,"Оператор, оборудване за печене на кафе/какао",,skos:closeMatch
http://data.europa.eu/esco/occupation/0f845e64-de8b-431e-9fe3-1bccf8e1c5b9,"фармацевт магистър, осигуряване на качеството при производството на фармацевтични продукти",http://data.europa.eu/esco/occupation/0f845e64-de8b-431e-9fe3-1bccf8e1c5b9,http://data.europa.eu/esco/concept/bulgarian-occupations/22627008,"Фармацевт, магистър, анализ на лекарствените продукти",,skos:closeMatch
http://data.europa.eu/esco/occupation/d2d451cc-e839-4192-be54-d7724814aa03,"мениджър, корпоративно банкиране",http://data.europa.eu/esco/occupation/d2d451cc-e839-4192-be54-d7724814aa03,http://data.europa.eu/esco/isco/C2412,Финансови и инвестиционни консултанти,,skos:broadMatch
http://data.europa.eu/esco/occupation/a1c9f8b7-c4ce-4b15-ac3c-3378c300d8f2,фрезист,http://data.europa.eu/esco/occupation/a1c9f8b7-c4ce-4b15-ac3c-3378c300d8f2,http://data.europa.eu/esco/concept/bulgarian-occupations/72232041,Фрезист,,skos:exactMatch
http://data.europa.eu/esco/occupation/35e67944-231e-4bc9-8c69-560f203167ff,"специалист, електронно разузнаване",http://data.europa.eu/esco/occupation/35e67944-231e-4bc9-8c69-560f203167ff,http://data.europa.eu/esco/concept/bulgarian-occupations/03101001,"Военнослужещ, войник",,skos:broadMatch
http://data.europa.eu/esco/isco/C2421,Анализатори по управление и организация,http://data.europa.eu/esco/isco/C2421,http://data.europa.eu/esco/concept/bulgarian-occupations/24215022,"Експерт, обществени поръчки",,skos:narrowMatch
http://data.europa.eu/esco/occupation/0663da10-e42c-41e8-992c-07d00ac97bea,"техник, качество на текстила",http://data.europa.eu/esco/occupation/0663da10-e42c-41e8-992c-07d00ac97bea,http://data.europa.eu/esco/isco/C3119,"Приложни специалисти във физическите и техническите науки, некласифицирани другаде",,skos:broadMatch
http://data.europa.eu/esco/isco/C1324,"Ръководители на звена за доставки, дистрибуция и сродни на тях",http://data.europa.eu/esco/isco/C1324,http://data.europa.eu/esco/concept/bulgarian-occupations/13245026,"Ръководител, транспорт",,skos:narrowMatch
http://data.europa.eu/esco/occupation/2b48a4cd-2333-4abf-ac3e-6f63d6ed3663,"контрольор, качество на обувки",http://data.europa.eu/esco/occupation/2b48a4cd-2333-4abf-ac3e-6f63d6ed3663,http://data.europa.eu/esco/isco/C7543,"Работници, които окачествяват и изпробват продукти (без храни и напитки)",,skos:broadMatch
http://data.europa.eu/esco/occupation/53c0086b-9b54-4c29-8bba-69ce8256cb91,"машинен оператор, подготовка за шиенето на обувки",http://data.europa.eu/esco/occupation/53c0086b-9b54-4c29-8bba-69ce8256cb91,http://data.europa.eu/esco/isco/C8156,Машинни оператори в обувното производство,,skos:broadMatch
