Mapping project name,ESCO - Klassifikation der Berufe 2010,,,,
http://data.europa.eu/esco/isco/C3119,"Material- und ingenieurtechnische Fachkräfte, anderweitig nicht genannt","B 73203-102","Beamter/Beamtin bei Behörden der Länder (gehobener technischer Dienst)",skos:narrowMatch,"Alternativmapping über ISCO-2008"
http://data.europa.eu/esco/isco/C3119,"Material- und ingenieurtechnische Fachkräfte, anderweitig nicht genannt","B 73202-100","Beamter/Beamtin in der Kommunalverwaltung (mittlerer technischer Dienst)",skos:narrowMatch,"Alternativmapping über ISCO-2008"
http://data.europa.eu/esco/isco/C3119,"Material- und ingenieurtechnische Fachkräfte, anderweitig nicht genannt","B 73202-101","Beamter/Beamtin bei Behörden der Länder (mittlerer technischer Dienst)",skos:narrowMatch,"Alternativmapping über ISCO-2008"
http://data.europa.eu/esco/isco/C3122,"Produktionsleiter bei der Herstellung von Waren","B 28393-107","Kürschnermeister/Kürschnermeisterin",skos:narrowMatch,"Alternativmapping über ISCO-2008"
http://data.europa.eu/esco/isco/C3122,"Produktionsleiter bei der Herstellung von Waren","B 93393-107","Vergoldermeister/Vergoldermeisterin",skos:narrowMatch,"Alternativmapping über ISCO-2008"
http://data.europa.eu/esco/isco/C3142,"Agrartechniker","B 11183-102","Staatlich geprüfte Fachkraft für EDV-gestützte Unternehmensführung",skos:narrowMatch,"Alternativmapping über ISCO-2008"
http://data.europa.eu/esco/isco/C3142,"Agrartechniker","B 11183-103","Geprüfter Fachagrarwirt/Geprüfte Fachagrarwirtin - Landwirtschaftliche Direktvermarktung",skos:narrowMatch,"Alternativmapping über ISCO-2008"
http://data.europa.eu/esco/isco/C3153,"Flugzeugführer und verwandte Berufe","B 52383-104","Freiballonführer/Freiballonführerin",skos:narrowMatch,"Alternativmapping über ISCO-2008"
http://data.europa.eu/esco/isco/C3153,"Flugzeugführer und verwandte Berufe","B 52383-105","Luftschiffführer/Luftschiffführerin",skos:narrowMatch,"Alternativmapping über ISCO-2008"
http://data.europa.eu/esco/isco/C3211,"Medizintechniker im Bereich bildgebende Verfahren und Therapiegeräte","B 81222-102","EEG-Assistent/EEG-Assistentin",skos:narrowMatch,"Alternativmapping über ISCO-2008"
http://data.europa.eu/esco/isco/C3252,"Fachkräfte im Bereich medizinische Dokumentation und Information","B 73342-100","Medizinischer Dokumentar/Medizinische Dokumentarin",skos:narrowMatch,"Alternativmapping über ISCO-2008"
http://data.europa.eu/esco/isco/C3339,"Fachkräfte für unternehmensbezogene Dienstleistungen, anderweitig nicht genannt","B 92384-101","Listbroker/in",skos:narrowMatch,"Alternativmapping über ISCO-2008"
http://data.europa.eu/esco/isco/C3341,"Sekretariatsleiter","B 71393-109","Gruppen-, Teamleiter/Gruppen-, Teamleiterin",skos:narrowMatch,"Alternativmapping über ISCO-2008"
http://data.europa.eu/esco/isco/C3435,"Sonstige Fachkräfte in Gestaltung und Kultur","B 94482-101","Programmberufe (Fernsehen/Rundfunk)",skos:narrowMatch,"Alternativmapping über ISCO-2008"
http://data.europa.eu/esco/isco/C3521,"Techniker für Rundfunk und audiovisuelle Medien","B 51182-100","Funker/Funkerin",skos:narrowMatch,"Alternativmapping über ISCO-2008"
http://data.europa.eu/esco/isco/C6129,"Tierhalter, anderweitig nicht genannt","B 11282-103","Vogelzüchter/Vogelzüchterin",skos:narrowMatch,"Alternativmapping über ISCO-2008"
http://data.europa.eu/esco/isco/C7223,"Werkzeugmaschineneinrichter und -bediener","B 24202-104","Teilezurichter/Teilezurichterin",skos:narrowMatch,"Alternativmapping über ISCO-2008"
http://data.europa.eu/esco/isco/C7313,"Schmuckwarenhersteller und Edelmetallbearbeiter","B 93522-138","Metallbildner/Metallbildnerin Fachrichtung Goldschlagtechnik",skos:narrowMatch,"Alternativmapping über ISCO-2008"
http://data.europa.eu/esco/isco/C7313,"Schmuckwarenhersteller und Edelmetallbearbeiter","B 93522-152","Gold-, Silber- und Aluminiumschläger/Gold-, Silber- und Aluminiumschlägerin",skos:narrowMatch,"Alternativmapping über ISCO-2008"
http://data.europa.eu/esco/isco/C7316,"Schildermaler, Dekormaler, Graveure und Ätzer","B 93342-100","Vergolder/Vergolderin",skos:narrowMatch,"Alternativmapping über ISCO-2008"
http://data.europa.eu/esco/isco/C7318,"Kunsthandwerkliche Berufe für Textilien, Leder und verwandte Materialien","B 28122-239","Textilgestalter/Textilgestalterin im Handwerk Fachrichtung Posamentieren",skos:narrowMatch,"Alternativmapping über ISCO-2008"
http://data.europa.eu/esco/isco/C7318,"Kunsthandwerkliche Berufe für Textilien, Leder und verwandte Materialien","B 28122-241","Textilgestalter/Textilgestalterin im Handwerk Fachrichtung Klöppeln",skos:narrowMatch,"Alternativmapping über ISCO-2008"
http://data.europa.eu/esco/isco/C7318,"Kunsthandwerkliche Berufe für Textilien, Leder und verwandte Materialien","B 28122-242","Textilgestalter/Textilgestalterin im Handwerk Fachrichtung Filzen",skos:narrowMatch,"Alternativmapping über ISCO-2008"
http://data.europa.eu/esco/isco/C8172,"Bediener von Anlagen zur Holzaufbereitung","B 22322-106","Holzmechaniker/Holzmechanikerin Fachrichtung Parkettindustrie",skos:narrowMatch,"Alternativmapping über ISCO-2008"
http://data.europa.eu/esco/isco/C9129,"Sonstiges Reinigungspersonal","B 54142-103","Schankanlagenreiniger/Schankanlagenreinigerin",skos:narrowMatch,"Alternativmapping über ISCO-2008"
http://data.europa.eu/esco/isco/C9621,"Boten, Paketauslieferer und Gepäckträger","B 73231-100","Beamter/Beamtin in der Steuerverwaltung (einfacher Dienst)",skos:narrowMatch,"Alternativmapping über ISCO-2008"
http://data.europa.eu/esco/isco/C9621,"Boten, Paketauslieferer und Gepäckträger","B 73201-100","Beamter/Beamtin in der Kommunalverwaltung (einfacher Dienst)",skos:narrowMatch,"Alternativmapping über ISCO-2008"
http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,"Technischer Leiter für Bühne, Film und Fernsehen/Technische Leiterin für Bühne, Film und Fernsehen","B 94593-102","Technischer Leiter/Technische Leiterin - Bühne/Film/Fernsehen",skos:exactMatch,
http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,"Technischer Leiter für Bühne, Film und Fernsehen/Technische Leiterin für Bühne, Film und Fernsehen","B 94514-100","Diplom-Ingenieur/Diplom-Ingenieurin (FH) Fachrichtung Theater- und Veranstaltungstechnik",skos:narrowMatch,
http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,"Technischer Leiter für Bühne, Film und Fernsehen/Technische Leiterin für Bühne, Film und Fernsehen","B 94693-100","Werkstättenvorstand - Bühne/Film/Fernsehen",skos:closeMatch,
http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,"Technischer Leiter für Bühne, Film und Fernsehen/Technische Leiterin für Bühne, Film und Fernsehen","B 94514-102","Ingenieur/Ingenieurin für Veranstaltungstechnik",skos:narrowMatch,
http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,"Technischer Leiter für Bühne, Film und Fernsehen/Technische Leiterin für Bühne, Film und Fernsehen","B 94693-101","Ausstattungsleiter/Ausstattungsleiterin - Bühne/Film/Fernsehen",skos:narrowMatch,
http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,"Technischer Leiter für Bühne, Film und Fernsehen/Technische Leiterin für Bühne, Film und Fernsehen","B 94593-116","Technischer Direktor/Technische Direktorin",skos:exactMatch,
http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,"Technischer Leiter für Bühne, Film und Fernsehen/Technische Leiterin für Bühne, Film und Fernsehen","B 94593-133","Geprüfter Meister/Geprüfte Meisterin Medienproduktion Bild und Ton",skos:broadMatch,
http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,"Metallziehmaschinenbediener/Metallziehmaschinenbedienerin","B 24122-100","Verfahrensmechaniker/Verfahrensmechanikerin in der Hütten- und Halbzeugindustrie Fachrichtung Nichteisenmetall-Umformung",skos:narrowMatch,
http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,"Metallziehmaschinenbediener/Metallziehmaschinenbedienerin","B 24122-101","Verfahrensmechaniker/Verfahrensmechanikerin in der Hütten- und Halbzeugindustrie Fachrichtung Stahl-Umformung",skos:narrowMatch,
http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,"Metallziehmaschinenbediener/Metallziehmaschinenbedienerin","B 25122-114","Maschinen- und Anlagenführer/Maschinen- und Anlagenführerin (ohne Angabe des Schwerpunkts)",skos:narrowMatch,
http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,"Metallziehmaschinenbediener/Metallziehmaschinenbedienerin","B 24202-110","Maschinen- und Anlagenführer/Maschinen- und Anlagenführerin Schwerpunkt Metall- und Kunststofftechnik",skos:narrowMatch,
http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,"Metallziehmaschinenbediener/Metallziehmaschinenbedienerin","B 24122-254","Verfahrenstechnologe/Verfahrenstechnologin Metall Fachrichtung Nichteisenmetallumformung",skos:narrowMatch,
http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,"Metallziehmaschinenbediener/Metallziehmaschinenbedienerin","B 24122-255","Verfahrenstechnologe/Verfahrenstechnologin Metall Fachrichtung Stahlumformung",skos:narrowMatch,
http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,"Präzisionsinstrumentenprüfer/Präzisionsinstrumentenprüferin","B 24522-238","Präzisionswerkzeugmechaniker/Präzisionswerkzeugmechanikerin Fachrichtung Schneidwerkzeuge",skos:closeMatch,
http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,"Präzisionsinstrumentenprüfer/Präzisionsinstrumentenprüferin","B 24522-239","Präzisionswerkzeugmechaniker/Präzisionswerkzeugmechanikerin Fachrichtung Zerspanwerkzeuge",skos:closeMatch,
http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,"Flugsicherungstechniker/Flugsicherungstechnikerin","B 51233-100","Flugsicherungstechniker/Flugsicherungstechnikerin",skos:exactMatch,
http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,"Ertragsmanager/Ertragsmanagerin","B 63294-109","Betriebswirt/Betriebswirtin (Hochschule) für Hotelmanagement",skos:narrowMatch,
http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,"Ertragsmanager/Ertragsmanagerin","B 63212-114","Revenue-Manager/Revenue-Managerin",skos:broadMatch,
http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,"Medizinisch-technischer Laborassistent/Medizinisch-technische Laborassistentin","B 81212-100","Staatlich geprüfter Medizin Laborant/Staatlich geprüfte Medizin Laborantin",skos:exactMatch,
http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,"Medizinisch-technischer Laborassistent/Medizinisch-technische Laborassistentin","B 81212-103","Medizinisch-technischer Laboratoriumsassistent/Medizinisch-technische Laboratoriumsassistentin",skos:exactMatch,
http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,"Medizinisch-technischer Laborassistent/Medizinisch-technische Laborassistentin","B 81212-146","Medizinischer Technologe/Medizinische Technologin für Laboratoriumsanalytik",skos:exactMatch,
http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,"Asphaltlabortechniker/Asphaltlabortechnikerin","B 41432-111","Baustoffprüfer/Baustoffprüferin Schwerpunkt Asphalttechnik",skos:exactMatch,
http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,"Lehrassistent Grundschule/Lehrassistentin Grundschule","B 84134-105","Förderlehrer/Förderlehrerin",skos:closeMatch,
http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,"Lehrassistent Grundschule/Lehrassistentin Grundschule","B 84183-100","Pädagogischer Assistent/Pädagogische Assistentin",skos:closeMatch,
http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,"Physiotherapeut/Physiotherapeutin","B 81713-104","Physiotherapeut/Physiotherapeutin",skos:exactMatch,
