Mapping project name,ESCO - Lithuanian Classification of Occupations,,,,,
Mapping project author,Ministry of the Economy and Innovation of the Republic of Lithuania,,,,,
Mapping project version,V1.0,,,,,
Mapping project version date,2021-03-15,,,,,
Classification 1 Name,Profesijos ESCO,,,,,
Classification 1 Concept type,occupation,,,,,
Classification 1 Version,1.0.8,,,,,
Classification 1 Language,lt,,,,,
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation,,,,,
Classification 2 Name,Lietuvos profesijų klasifikatorius,,,,,
Classification 2 Concept type,occupation,,,,,
Classification 2 Version,ESCO LPK,,,,,
Classification 2 Language,lt,,,,,
Classification 2 Landing page,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=,,,,,
,,,,,,
,,,,,,
Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 ID,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,gydytojas specialistas,http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,221260,Gydytojas vaikų ir paauglių psichiatras,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=221260,skos:broadMatch
http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,gydytojas specialistas,http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,221261,Gydytojas vaikų pulmonologas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=221261,skos:broadMatch
http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,gydytojas specialistas,http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,221262,Gydytojas vaikų ortopedas traumatologas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=221262,skos:broadMatch
http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,gydytojas specialistas,http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,221263,Sporto medicinos gydytojas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=221263,skos:broadMatch
http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,gydytojas specialistas,http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,221264,Aviacijos medicinos gydytojas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=221264,skos:broadMatch
http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,gydytojas specialistas,http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,221265,Klinikinės fiziologijos gydytojas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=221265,skos:broadMatch
http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,gydytojas specialistas,http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,221266,Laboratorinės medicinos gydytojas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=221266,skos:broadMatch
http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,gydytojas specialistas,http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,221267,Vaikų intensyviosios terapijos gydytojas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=221267,skos:broadMatch
http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,gydytojas specialistas,http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,221268,Karo medicinos gydytojas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=221268,skos:broadMatch
http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,gydytojas specialistas,http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,221269,Plastinės ir rekonstrukcinės chirurgijos gydytojas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=221269,skos:broadMatch
http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,gydytojas specialistas,http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,221270,Abdominalinės onkochirurgijos gydytojas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=221270,skos:broadMatch
http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,gydytojas specialistas,http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,221271,Krūtų onkochirurgijos gydytojas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=221271,skos:broadMatch
http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,gydytojas specialistas,http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,221272,Gydytojas teismo psichiatras,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=221272,skos:broadMatch
http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,gydytojas specialistas,http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,221273,Gydytojas priklausomybės ligų psichiatras,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=221273,skos:broadMatch
http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,gydytojas specialistas,http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,221274,Manualinės terapijos gydytojas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=221274,skos:broadMatch
http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,gydytojas specialistas,http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,221275,Gydytojas homeopatas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=221275,skos:broadMatch
http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,gydytojas specialistas,http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,221276,Intervencinės kardiologijos gydytojas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=221276,skos:broadMatch
http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,gydytojas specialistas,http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,221277,Gydytojas endoskopuotojas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=221277,skos:broadMatch
http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,gydytojas specialistas,http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,221278,Gydytojas citologas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=221278,skos:broadMatch
http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,gydytojas specialistas,http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,221280,Gydytojas stažuotojas {specialioji praktika},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=221280,skos:broadMatch
http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,gydytojas specialistas,http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,221281,Skubiosios medicinos gydytojas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=221281,skos:broadMatch
http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,gydytojas specialistas,http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,221282,Gydytojas klinikinis farmakologas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=221282,skos:broadMatch
http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,gydytojas specialistas,http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,221283,Vaikų infekcinių ligų gydytojas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=221283,skos:broadMatch
http://data.europa.eu/esco/isco/C2221,Slaugos specialistai,http://data.europa.eu/esco/isco/C2221,222102,Mokslo darbuotojas {slauga},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=222102,skos:narrowMatch
http://data.europa.eu/esco/occupation/36494988-69d2-4420-9db4-eb56605ac983,vyresnysis slaugytojas,http://data.europa.eu/esco/occupation/36494988-69d2-4420-9db4-eb56605ac983,222103,Išplėstinės praktikos slaugytojas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=222103,skos:broadMatch
http://data.europa.eu/esco/occupation/8d3e8aaa-791b-4c75-a465-f3f827028f50,bendrosios praktikos slaugytojas,http://data.europa.eu/esco/occupation/8d3e8aaa-791b-4c75-a465-f3f827028f50,222101,Bendrosios praktikos slaugytojas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=222101,skos:exactMatch
http://data.europa.eu/esco/occupation/18e14e61-495b-44cc-a7c6-df4c625934ba,slaugytojas specialistas,http://data.europa.eu/esco/occupation/18e14e61-495b-44cc-a7c6-df4c625934ba,222104,Bendruomenės slaugytojas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=222104,skos:broadMatch
http://data.europa.eu/esco/occupation/18e14e61-495b-44cc-a7c6-df4c625934ba,slaugytojas specialistas,http://data.europa.eu/esco/occupation/18e14e61-495b-44cc-a7c6-df4c625934ba,224001,Bendruomenės slaugytojas (dirbantis pirminės sveikatos priežiūros įstaigoje),http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=224001,skos:broadMatch
http://data.europa.eu/esco/occupation/18e14e61-495b-44cc-a7c6-df4c625934ba,slaugytojas specialistas,http://data.europa.eu/esco/occupation/18e14e61-495b-44cc-a7c6-df4c625934ba,222105,Psichikos sveikatos slaugytojas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=222105,skos:broadMatch
http://data.europa.eu/esco/occupation/18e14e61-495b-44cc-a7c6-df4c625934ba,slaugytojas specialistas,http://data.europa.eu/esco/occupation/18e14e61-495b-44cc-a7c6-df4c625934ba,222106,"Anestezijos ir intensyviosios terapijos slaugytojas (dirbantis intensyviosios terapijos"","" reanimacijos skyriuje"","" teikiantis intensyviąją terapiją)",http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=222106,skos:broadMatch
http://data.europa.eu/esco/occupation/18e14e61-495b-44cc-a7c6-df4c625934ba,slaugytojas specialistas,http://data.europa.eu/esco/occupation/18e14e61-495b-44cc-a7c6-df4c625934ba,222107,Vaikų slaugytojas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=222107,skos:broadMatch
http://data.europa.eu/esco/occupation/18e14e61-495b-44cc-a7c6-df4c625934ba,slaugytojas specialistas,http://data.europa.eu/esco/occupation/18e14e61-495b-44cc-a7c6-df4c625934ba,222108,Fizinės medicinos ir reabilitacijos slaugytojas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=222108,skos:broadMatch
http://data.europa.eu/esco/occupation/95cda6a9-a70a-4a93-9442-11d573cb4a02,akušeris,http://data.europa.eu/esco/occupation/95cda6a9-a70a-4a93-9442-11d573cb4a02,222201,Akušeris,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=222201,skos:exactMatch
http://data.europa.eu/esco/occupation/c2a29b8d-1042-4766-a162-e174c7a77421,netradicinės medicinos specialistas,http://data.europa.eu/esco/occupation/c2a29b8d-1042-4766-a162-e174c7a77421,2230,Tradicinės ir liaudies medicinos specialistai,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=2230,skos:narrowMatch
http://data.europa.eu/esco/occupation/2dcb5dad-1902-4051-9023-d725485479a7,akupunktūros specialistas,http://data.europa.eu/esco/occupation/2dcb5dad-1902-4051-9023-d725485479a7,2230,Tradicinės ir liaudies medicinos specialistai,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=2230,skos:narrowMatch
http://data.europa.eu/esco/occupation/61704d4b-f54b-43e5-a7de-bfd7a76f2f0d,homeopatas,http://data.europa.eu/esco/occupation/61704d4b-f54b-43e5-a7de-bfd7a76f2f0d,223001,Homeopatas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=223001,skos:exactMatch
http://data.europa.eu/esco/occupation/80a2aba7-ef7d-46ef-a8ec-15ff6131c0f1,tradicinės kinų medicinos gydytojas,http://data.europa.eu/esco/occupation/80a2aba7-ef7d-46ef-a8ec-15ff6131c0f1,2230,Tradicinės ir liaudies medicinos specialistai,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=2230,skos:narrowMatch
http://data.europa.eu/esco/isco/C2250,Veterinarai,http://data.europa.eu/esco/isco/C2250,225001,Gyvūnų patologas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=225001,skos:narrowMatch
http://data.europa.eu/esco/isco/C2250,Veterinarai,http://data.europa.eu/esco/isco/C2250,225004,Mokslo darbuotojas {veterinarija},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=225004,skos:narrowMatch
http://data.europa.eu/esco/occupation/be2896db-9ab7-4719-a558-96b18c93027d,gyvūnų chiropraktikas,http://data.europa.eu/esco/occupation/be2896db-9ab7-4719-a558-96b18c93027d,2250,Veterinarai,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=2250,skos:narrowMatch
http://data.europa.eu/esco/occupation/8467dda9-34c6-4c6f-aa37-e7bddffac007,vandens gyvūnų sveikatos specialistas,http://data.europa.eu/esco/occupation/8467dda9-34c6-4c6f-aa37-e7bddffac007,2250,Veterinarai,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=2250,skos:narrowMatch
http://data.europa.eu/esco/occupation/eb6efbb9-9216-4e86-bc3b-de2223cd4667,bendrosios praktikos veterinarijos gydytojas,http://data.europa.eu/esco/occupation/eb6efbb9-9216-4e86-bc3b-de2223cd4667,225003,Veterinarijos gydytojas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=225003,skos:exactMatch
http://data.europa.eu/esco/occupation/4ce42c3c-8a46-40b6-9274-1f5cee3c5cba,valstybinis veterinarijos gydytojas,http://data.europa.eu/esco/occupation/4ce42c3c-8a46-40b6-9274-1f5cee3c5cba,225003,Veterinarijos gydytojas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=225003,skos:narrowMatch
http://data.europa.eu/esco/occupation/08984bec-31d8-4bb0-aa2f-d557761ff029,veterinarijos gydytojas specialistas,http://data.europa.eu/esco/occupation/08984bec-31d8-4bb0-aa2f-d557761ff029,225002,Patologas veterinaras,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=225002,skos:broadMatch
http://data.europa.eu/esco/isco/C2261,Gydytojai odontologai,http://data.europa.eu/esco/isco/C2261,226109,Mokslo darbuotojas {odontologija},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226109,skos:narrowMatch
http://data.europa.eu/esco/occupation/e52b5707-7097-4dbc-ac61-054e917da241,gydytojas odontologas,http://data.europa.eu/esco/occupation/e52b5707-7097-4dbc-ac61-054e917da241,226101,Gydytojas odontologas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226101,skos:exactMatch
http://data.europa.eu/esco/occupation/a580e79a-b752-49c1-b033-b5ab2b34bfba,gydytojas odontologas specialistas,http://data.europa.eu/esco/occupation/a580e79a-b752-49c1-b033-b5ab2b34bfba,226102,Burnos chirurgas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226102,skos:broadMatch
http://data.europa.eu/esco/occupation/a580e79a-b752-49c1-b033-b5ab2b34bfba,gydytojas odontologas specialistas,http://data.europa.eu/esco/occupation/a580e79a-b752-49c1-b033-b5ab2b34bfba,226103,Gydytojas ortodontas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226103,skos:broadMatch
http://data.europa.eu/esco/occupation/a580e79a-b752-49c1-b033-b5ab2b34bfba,gydytojas odontologas specialistas,http://data.europa.eu/esco/occupation/a580e79a-b752-49c1-b033-b5ab2b34bfba,226104,Gydytojas periodontologas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226104,skos:broadMatch
http://data.europa.eu/esco/occupation/a580e79a-b752-49c1-b033-b5ab2b34bfba,gydytojas odontologas specialistas,http://data.europa.eu/esco/occupation/a580e79a-b752-49c1-b033-b5ab2b34bfba,226105,Gydytojas endodontologas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226105,skos:broadMatch
http://data.europa.eu/esco/occupation/a580e79a-b752-49c1-b033-b5ab2b34bfba,gydytojas odontologas specialistas,http://data.europa.eu/esco/occupation/a580e79a-b752-49c1-b033-b5ab2b34bfba,226106,Gydytojas odontologas ortopedas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226106,skos:broadMatch
http://data.europa.eu/esco/occupation/a580e79a-b752-49c1-b033-b5ab2b34bfba,gydytojas odontologas specialistas,http://data.europa.eu/esco/occupation/a580e79a-b752-49c1-b033-b5ab2b34bfba,226107,Gydytojas vaikų odontologas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226107,skos:broadMatch
http://data.europa.eu/esco/occupation/a580e79a-b752-49c1-b033-b5ab2b34bfba,gydytojas odontologas specialistas,http://data.europa.eu/esco/occupation/a580e79a-b752-49c1-b033-b5ab2b34bfba,226108,"Gydytojas burnos"","" veido ir žandikaulių chirurgas",http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226108,skos:broadMatch
http://data.europa.eu/esco/isco/C2262,Vaistininkai,http://data.europa.eu/esco/isco/C2262,226211,Mokslo darbuotojas {farmacija},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226211,skos:narrowMatch
http://data.europa.eu/esco/isco/C2262,Vaistininkai,http://data.europa.eu/esco/isco/C2262,226212,Vaistininkas vadybininkas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226212,skos:narrowMatch
http://data.europa.eu/esco/isco/C2262,Vaistininkai,http://data.europa.eu/esco/isco/C2262,226213,Vaistininkas didmenininkas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226213,skos:narrowMatch
http://data.europa.eu/esco/isco/C2262,Vaistininkai,http://data.europa.eu/esco/isco/C2262,226214,Vaistininkas farmacinės veiklos vadovas (dirbantis vaistinėje ar farmacinių atliekų tvarkymo įmonėje),http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226214,skos:narrowMatch
http://data.europa.eu/esco/isco/C2262,Vaistininkai,http://data.europa.eu/esco/isco/C2262,226215,Vaistininkas konsultantas (internetu ar žodžiu),http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226215,skos:narrowMatch
http://data.europa.eu/esco/isco/C2262,Vaistininkai,http://data.europa.eu/esco/isco/C2262,226216,Veterinarijos įmonės vaistininkas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226216,skos:narrowMatch
http://data.europa.eu/esco/occupation/7c132147-428b-4ea3-87e1-70f7abb691ce,vaistininkas,http://data.europa.eu/esco/occupation/7c132147-428b-4ea3-87e1-70f7abb691ce,226205,Vaistininkas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226205,skos:exactMatch
http://data.europa.eu/esco/occupation/0f845e64-de8b-431e-9fe3-1bccf8e1c5b9,farmacijos kokybės kontrolės specialistas,http://data.europa.eu/esco/occupation/0f845e64-de8b-431e-9fe3-1bccf8e1c5b9,226205,Vaistininkas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226205,skos:narrowMatch
http://data.europa.eu/esco/occupation/8db28ebf-8818-4639-aa49-30324901836e,vaistininkas specialistas,http://data.europa.eu/esco/occupation/8db28ebf-8818-4639-aa49-30324901836e,226203,Vaistininkas homeopatas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226203,skos:broadMatch
http://data.europa.eu/esco/occupation/8db28ebf-8818-4639-aa49-30324901836e,vaistininkas specialistas,http://data.europa.eu/esco/occupation/8db28ebf-8818-4639-aa49-30324901836e,226204,Veterinarijos vaistininkas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226204,skos:broadMatch
http://data.europa.eu/esco/occupation/8db28ebf-8818-4639-aa49-30324901836e,vaistininkas specialistas,http://data.europa.eu/esco/occupation/8db28ebf-8818-4639-aa49-30324901836e,226206,Klinikinis vaistininkas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226206,skos:broadMatch
http://data.europa.eu/esco/occupation/8db28ebf-8818-4639-aa49-30324901836e,vaistininkas specialistas,http://data.europa.eu/esco/occupation/8db28ebf-8818-4639-aa49-30324901836e,226207,Vaistininkas analitikas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226207,skos:broadMatch
http://data.europa.eu/esco/occupation/8db28ebf-8818-4639-aa49-30324901836e,vaistininkas specialistas,http://data.europa.eu/esco/occupation/8db28ebf-8818-4639-aa49-30324901836e,226208,Vaistininkas farmakognostas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226208,skos:broadMatch
http://data.europa.eu/esco/occupation/8db28ebf-8818-4639-aa49-30324901836e,vaistininkas specialistas,http://data.europa.eu/esco/occupation/8db28ebf-8818-4639-aa49-30324901836e,226209,Vaistininkas technologas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226209,skos:broadMatch
http://data.europa.eu/esco/occupation/8db28ebf-8818-4639-aa49-30324901836e,vaistininkas specialistas,http://data.europa.eu/esco/occupation/8db28ebf-8818-4639-aa49-30324901836e,226210,Vaistininkas ekspertas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226210,skos:broadMatch
http://data.europa.eu/esco/occupation/5fd099da-218a-460e-bd5b-b42f1b76c67c,ligoninės vaistininkas,http://data.europa.eu/esco/occupation/5fd099da-218a-460e-bd5b-b42f1b76c67c,226202,Ligoninės vaistininkas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226202,skos:exactMatch
http://data.europa.eu/esco/occupation/53cdcc84-e5ee-488c-aa09-88084e06d6d7,farmacijos pramonės vaistininkas,http://data.europa.eu/esco/occupation/53cdcc84-e5ee-488c-aa09-88084e06d6d7,226201,Farmacijos pramonės vaistininkas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226201,skos:exactMatch
http://data.europa.eu/esco/isco/C2263,Aplinkos ir profesinės sveikatos ir higienos specialistai,http://data.europa.eu/esco/isco/C2263,226301,Epidemiologas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226301,skos:narrowMatch
http://data.europa.eu/esco/isco/C2263,Aplinkos ir profesinės sveikatos ir higienos specialistai,http://data.europa.eu/esco/isco/C2263,226303,Aplinkos higienistas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226303,skos:narrowMatch
http://data.europa.eu/esco/isco/C2263,Aplinkos ir profesinės sveikatos ir higienos specialistai,http://data.europa.eu/esco/isco/C2263,226304,Visuomenės sveikatos specialistas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226304,skos:narrowMatch
http://data.europa.eu/esco/isco/C2263,Aplinkos ir profesinės sveikatos ir higienos specialistai,http://data.europa.eu/esco/isco/C2263,226305,Sveikatos ekologas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226305,skos:narrowMatch
http://data.europa.eu/esco/isco/C2263,Aplinkos ir profesinės sveikatos ir higienos specialistai,http://data.europa.eu/esco/isco/C2263,226306,Gydytojas parazitologas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226306,skos:narrowMatch
http://data.europa.eu/esco/isco/C2263,Aplinkos ir profesinės sveikatos ir higienos specialistai,http://data.europa.eu/esco/isco/C2263,226307,Gydytojas epidemiologas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226307,skos:narrowMatch
http://data.europa.eu/esco/isco/C2263,Aplinkos ir profesinės sveikatos ir higienos specialistai,http://data.europa.eu/esco/isco/C2263,226308,Vaikų higienos gydytojas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226308,skos:narrowMatch
http://data.europa.eu/esco/isco/C2263,Aplinkos ir profesinės sveikatos ir higienos specialistai,http://data.europa.eu/esco/isco/C2263,226309,Higienos laboratorijos gydytojas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226309,skos:narrowMatch
http://data.europa.eu/esco/isco/C2263,Aplinkos ir profesinės sveikatos ir higienos specialistai,http://data.europa.eu/esco/isco/C2263,226311,Aplinkos higienos gydytojas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226311,skos:narrowMatch
http://data.europa.eu/esco/isco/C2263,Aplinkos ir profesinės sveikatos ir higienos specialistai,http://data.europa.eu/esco/isco/C2263,226313,Sveikatos priežiūros vadybininkas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226313,skos:narrowMatch
http://data.europa.eu/esco/isco/C2263,Aplinkos ir profesinės sveikatos ir higienos specialistai,http://data.europa.eu/esco/isco/C2263,226314,Gydytojas edukologas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226314,skos:narrowMatch
http://data.europa.eu/esco/isco/C2263,Aplinkos ir profesinės sveikatos ir higienos specialistai,http://data.europa.eu/esco/isco/C2263,226315,Bendrosios higienos gydytojas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226315,skos:narrowMatch
http://data.europa.eu/esco/isco/C2263,Aplinkos ir profesinės sveikatos ir higienos specialistai,http://data.europa.eu/esco/isco/C2263,226316,Darbo higienos gydytojas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226316,skos:narrowMatch
http://data.europa.eu/esco/isco/C2263,Aplinkos ir profesinės sveikatos ir higienos specialistai,http://data.europa.eu/esco/isco/C2263,226317,Dezinfektologas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226317,skos:narrowMatch
http://data.europa.eu/esco/isco/C2263,Aplinkos ir profesinės sveikatos ir higienos specialistai,http://data.europa.eu/esco/isco/C2263,226318,Gydytojas mikrobiologas,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226318,skos:narrowMatch
http://data.europa.eu/esco/isco/C2263,Aplinkos ir profesinės sveikatos ir higienos specialistai,http://data.europa.eu/esco/isco/C2263,226319,"Mokslo darbuotojas {visuomenės sveikata"","" epidemiologija}",http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=226319,skos:narrowMatch
