Mapping project name,ESCO - Lithuanian Classification of Occupations,,,,,
Mapping project author,Ministry of the Economy and Innovation of the Republic of Lithuania,,,,,
Mapping project version,V1.0,,,,,
Mapping project version date,2021-03-15,,,,,
Classification 1 Name,Profesijos ESCO,,,,,
Classification 1 Concept type,occupation,,,,,
Classification 1 Version,1.0.8,,,,,
Classification 1 Language,lt,,,,,
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation,,,,,
Classification 2 Name,Lietuvos profesijų klasifikatorius,,,,,
Classification 2 Concept type,occupation,,,,,
Classification 2 Version,ESCO LPK,,,,,
Classification 2 Language,lt,,,,,
Classification 2 Landing page,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=,,,,,
,,,,,,
,,,,,,
Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 ID,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
http://data.europa.eu/esco/isco/C0110,Ginkluotųjų pajėgų karininkai,http://data.europa.eu/esco/isco/C0110,011018,Leitenantas {karinės oro pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=011018,skos:narrowMatch
http://data.europa.eu/esco/isco/C0110,Ginkluotųjų pajėgų karininkai,http://data.europa.eu/esco/isco/C0110,011019,Viceadmirolas {karinės jūrų pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=011019,skos:narrowMatch
http://data.europa.eu/esco/isco/C0110,Ginkluotųjų pajėgų karininkai,http://data.europa.eu/esco/isco/C0110,011020,Kontradmirolas {karinės jūrų pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=011020,skos:narrowMatch
http://data.europa.eu/esco/isco/C0110,Ginkluotųjų pajėgų karininkai,http://data.europa.eu/esco/isco/C0110,011021,Flotilės admirolas {karinės jūrų pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=011021,skos:narrowMatch
http://data.europa.eu/esco/isco/C0110,Ginkluotųjų pajėgų karininkai,http://data.europa.eu/esco/isco/C0110,011022,Jūrų kapitonas {karinės jūrų pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=011022,skos:narrowMatch
http://data.europa.eu/esco/isco/C0110,Ginkluotųjų pajėgų karininkai,http://data.europa.eu/esco/isco/C0110,011023,Komandoras {karinės jūrų pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=011023,skos:narrowMatch
http://data.europa.eu/esco/isco/C0110,Ginkluotųjų pajėgų karininkai,http://data.europa.eu/esco/isco/C0110,011024,Komandoras leitenantas {karinės jūrų pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=011024,skos:narrowMatch
http://data.europa.eu/esco/isco/C0110,Ginkluotųjų pajėgų karininkai,http://data.europa.eu/esco/isco/C0110,011025,Kapitonas leitenantas {karinės jūrų pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=011025,skos:narrowMatch
http://data.europa.eu/esco/isco/C0110,Ginkluotųjų pajėgų karininkai,http://data.europa.eu/esco/isco/C0110,011026,Vyresnysis leitenantas {karinės jūrų pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=011026,skos:narrowMatch
http://data.europa.eu/esco/isco/C0110,Ginkluotųjų pajėgų karininkai,http://data.europa.eu/esco/isco/C0110,011027,Leitenantas {karinės jūrų pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=011027,skos:narrowMatch
