Mapping project name,ESCO - ESCOSTAR OCCs
Mapping project author,default-author
Mapping project version,N/A
Mapping project version date,2022-03-21
Classification 1 Name,ESCO - stillingsbetegnelser
Classification 1 Concept type,Occupation
Classification 1 Version,1.0.8
Classification 1 Language,da
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation
Classification 2 Name,ESCOSTAR
Classification 2 Concept type,unknown
Classification 2 Version,09.06.2021
Classification 2 Language,da
Classification 2 Landing page,


Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 URI,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
http://data.europa.eu/esco/occupation/4fe4b1f1-e84d-4056-b062-83d5a64fc571,fiskeriteknolog inden for høst af fisk,http://data.europa.eu/esco/occupation/4fe4b1f1-e84d-4056-b062-83d5a64fc571,http://data.europa.eu/esco/concept/danish-occupations/1312.1,Fiskeriteknolog,http://data.star.dk/esco/occupation/4b369d5a-a3a6-4644-82b7-3512373d3563,skos:exactMatch
http://data.europa.eu/esco/occupation/5e5b1b61-1351-4d3b-a293-deb3661715dd,finansinspektør,http://data.europa.eu/esco/occupation/5e5b1b61-1351-4d3b-a293-deb3661715dd,http://data.europa.eu/esco/concept/danish-occupations/2411.1.8,Økonomicontroller,http://data.star.dk/esco/occupation/156319c9-27a7-4550-9ee7-db7cb71d17e0,skos:exactMatch
http://data.europa.eu/esco/occupation/f8e76759-811e-4b39-9adf-3e77429cff8f,skomager,http://data.europa.eu/esco/occupation/f8e76759-811e-4b39-9adf-3e77429cff8f,http://data.europa.eu/esco/concept/danish-occupations/7536.2,Skomager,http://data.star.dk/esco/occupation/07571fde-633a-4f06-b207-ce622e2d8ab9,skos:exactMatch
http://data.europa.eu/esco/occupation/acbb7a20-c947-480d-a07e-868a0ab3eab8,specialist i biomedicin,http://data.europa.eu/esco/occupation/acbb7a20-c947-480d-a07e-868a0ab3eab8,http://data.europa.eu/esco/concept/danish-occupations/2131.4.11,Specialist i biomedicin,http://data.star.dk/esco/occupation/181ed341-0792-4864-a46f-cfa0c63506e9,skos:exactMatch
http://data.europa.eu/esco/occupation/cd19e8d1-6abd-4c99-a9bb-85e7c30aca31,maskinchef,http://data.europa.eu/esco/occupation/cd19e8d1-6abd-4c99-a9bb-85e7c30aca31,http://data.europa.eu/esco/concept/danish-occupations/3151.2,Maskinmester,http://data.star.dk/esco/occupation/f9123b54-d653-41e2-a8ba-dcd09a502b74,skos:exactMatch
http://data.europa.eu/esco/occupation/5d758e75-a116-485a-b800-5db08ffd3ba1,misbrugskonsulent,http://data.europa.eu/esco/occupation/5d758e75-a116-485a-b800-5db08ffd3ba1,http://data.europa.eu/esco/concept/danish-occupations/2635.1.2,Misbrugsbehandler,http://data.star.dk/esco/occupation/7a84ac3b-f7fe-4f90-a99a-0da7c8fdc66f,skos:exactMatch
http://data.europa.eu/esco/occupation/c4d6d07a-ae90-40ce-bc5a-c952805a9bf3,audiolog,http://data.europa.eu/esco/occupation/c4d6d07a-ae90-40ce-bc5a-c952805a9bf3,http://data.europa.eu/esco/concept/danish-occupations/2266.1,Audiolog,http://data.star.dk/esco/occupation/2b4f5477-9c1e-4f23-a2a8-1326e9063708,skos:exactMatch
http://data.europa.eu/esco/occupation/99492920-e5a5-4dba-9e5a-93193147198c,økonom,http://data.europa.eu/esco/occupation/99492920-e5a5-4dba-9e5a-93193147198c,http://data.europa.eu/esco/concept/danish-occupations/2631.1,Økonom,http://data.star.dk/esco/occupation/76f0144b-b60d-4a97-a946-45f80ba23314,skos:exactMatch
http://data.europa.eu/esco/occupation/92bb3d8c-8a9f-4cd7-80ec-247bbf173004,hardwaretekniker,http://data.europa.eu/esco/occupation/92bb3d8c-8a9f-4cd7-80ec-247bbf173004,http://data.europa.eu/esco/concept/danish-occupations/2152.1.1,Hardware-udvikler,http://data.star.dk/esco/occupation/28900baf-5bb5-4c05-941f-43e6ef78b784,skos:exactMatch
http://data.europa.eu/esco/occupation/068df7d1-516f-4829-b339-294cb0cf6318,lysdesigner,http://data.europa.eu/esco/occupation/068df7d1-516f-4829-b339-294cb0cf6318,http://data.europa.eu/esco/concept/danish-occupations/3435.11,Lysdesigner,http://data.star.dk/esco/occupation/9aa3629a-90e7-4591-addf-2c738e0c806e,skos:exactMatch
