Mapping project name,ESCO - EE NOC v.3
Mapping project author,default-author
Mapping project version,N/A
Mapping project version date,2022-03-22
Classification 1 Name,ESCO ametirühmad ja ametid
Classification 1 Concept type,Occupation
Classification 1 Version,1.0.8
Classification 1 Language,et
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation
Classification 2 Name,Töötukassa ametite klassifikaator
Classification 2 Concept type,unknown
Classification 2 Version,07.21
Classification 2 Language,et
Classification 2 Landing page,


Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 URI,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
http://data.europa.eu/esco/occupation/1de91afd-9da2-47ab-a7e7-19bf931709a4,erivägede allohvitser,http://data.europa.eu/esco/occupation/1de91afd-9da2-47ab-a7e7-19bf931709a4,http://data.europa.eu/esco/concept/estonian-occupations/0210.0001,"allohvitser, seersant vms kaitseväelane",,skos:broadMatch
http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,sõjandusspetsialist,http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,http://data.europa.eu/esco/concept/estonian-occupations/0210.0001,"allohvitser, seersant vms kaitseväelane",,skos:broadMatch
http://data.europa.eu/esco/occupation/5bca96fd-4203-400b-be58-9e9b50bc98da,parlamendiliige,http://data.europa.eu/esco/occupation/5bca96fd-4203-400b-be58-9e9b50bc98da,http://data.europa.eu/esco/concept/estonian-occupations/1111.0004,riigikogu liige,,skos:exactMatch
http://data.europa.eu/esco/occupation/7226c10f-701b-4711-8843-140aace12c6f,linnavolikogu liige,http://data.europa.eu/esco/occupation/7226c10f-701b-4711-8843-140aace12c6f,http://data.europa.eu/esco/concept/estonian-occupations/1111.0002,volikogu liige,,skos:closeMatch
http://data.europa.eu/esco/occupation/404a50e9-61ce-448d-a695-bbfc697a0727,minister,http://data.europa.eu/esco/occupation/404a50e9-61ce-448d-a695-bbfc697a0727,http://data.europa.eu/esco/concept/estonian-occupations/1111.0003,"peaminister, minister, president",,skos:closeMatch
http://data.europa.eu/esco/occupation/c94dc5b2-6b23-4915-8de5-a4e6ae86d802,õhuväepiloot,http://data.europa.eu/esco/occupation/c94dc5b2-6b23-4915-8de5-a4e6ae86d802,http://data.europa.eu/esco/concept/estonian-occupations/0310.0000,"madalama astme kaitseväelane, reakoosseis",,skos:broadMatch
http://data.europa.eu/esco/occupation/fdc8adfb-1807-4146-98ae-3a26fbe19996,pommirühma tehnik,http://data.europa.eu/esco/occupation/fdc8adfb-1807-4146-98ae-3a26fbe19996,http://data.europa.eu/esco/concept/estonian-occupations/0310.0000,"madalama astme kaitseväelane, reakoosseis",,skos:broadMatch
http://data.europa.eu/esco/occupation/bd5a2f44-fc06-45fd-909b-3a4001c8b8a3,jalaväelane,http://data.europa.eu/esco/occupation/bd5a2f44-fc06-45fd-909b-3a4001c8b8a3,http://data.europa.eu/esco/concept/estonian-occupations/0310.0000,"madalama astme kaitseväelane, reakoosseis",,skos:broadMatch
http://data.europa.eu/esco/occupation/35e67944-231e-4bc9-8c69-560f203167ff,sideluure spetsialist,http://data.europa.eu/esco/occupation/35e67944-231e-4bc9-8c69-560f203167ff,http://data.europa.eu/esco/concept/estonian-occupations/0310.0000,"madalama astme kaitseväelane, reakoosseis",,skos:broadMatch
http://data.europa.eu/esco/occupation/555235ce-8c45-409b-a6c9-83e69c2d2bce,sõjaväeinsener,http://data.europa.eu/esco/occupation/555235ce-8c45-409b-a6c9-83e69c2d2bce,http://data.europa.eu/esco/concept/estonian-occupations/0310.0000,"madalama astme kaitseväelane, reakoosseis",,skos:broadMatch
