,,,,,
Mapping project name,ESCO - Kompetenzenzsystematik,,,,
Mapping project author,Bundesagentur für Arbeit,,,,
Mapping project version,20220518,,,,
Mapping project version date,2022-05-18,,,,
Classification 1 Name,ESCO,,,,
Classification 1 Concept type,skill,,,,
Classification 1 Version,1.0.3,,,,
Classification 1 Language,de,,,,
Classification 1 Landing page,https://ec.europa.eu/esco/portal/skill,,,,
Classification 2 Name,Kompetenzsystematik,,,,
Classification 2 Concept type,skill,,,,
Classification 2 Version,20220518,,,,
Classification 2 Language,de,,,,
Classification 2 Landing page,,,,,
,,,,,
,,,,,
Classification 1 URI,Classification 1 PrefLabel,Classification 2 ID,Classification 2 PrefLabel,Mapping relation,Editorial note
http://data.europa.eu/esco/skill/008a0e0d-7380-4b31-abe5-0195e700f8c0,"Lokomotiven überprüfen","K 0405-004","Betriebssicherheit von Transportmitteln kontrollieren",skos:narrowMatch,
http://data.europa.eu/esco/skill/009673d9-e2fd-46ef-a64b-6027ac7fd613,"Zutaten herstellen","K 010505-019","Zutatenaufbereitung",skos:broadMatch,
http://data.europa.eu/esco/skill/00994812-ac9e-4856-954b-f71bcc6066bb,"Zuchtteiche von Aquakulturen instand halten","K 0008-000","Aquakultur",skos:narrowMatch,
http://data.europa.eu/esco/skill/00994812-ac9e-4856-954b-f71bcc6066bb,"Zuchtteiche von Aquakulturen instand halten","K 0008-018","Teichwirtschaft",skos:narrowMatch,
http://data.europa.eu/esco/skill/009db49b-fcf5-4409-b4a5-232d059f3597,"Kreditrisikopolitik anwenden","K 030000-027","Kreditgeschäft",skos:narrowMatch,
http://data.europa.eu/esco/skill/00a4e92d-e410-42b8-ba2d-d7b3febf49e0,"Kundenanfragen in Bezug auf Fracht bearbeiten","K 0400-012","Frachtabfertigung",skos:narrowMatch,
http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,"inkrementelle Entwicklung","K 0703-032","Softwaretechnik, Software-Engineering",skos:closeMatch,
http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,"inkrementelle Entwicklung","K 0703-034","Systemsoftware (Entwicklung, Programmierung, Analyse)",skos:closeMatch,
http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,"inkrementelle Entwicklung","K 0809-003","Entwicklung",skos:narrowMatch,
http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,"inkrementelle Entwicklung","K 0703-063","Web-Applikationen (Entwicklung, Programmierung)",skos:closeMatch,
http://data.europa.eu/esco/skill/00c85cbc-2b24-4605-a6fe-55b5c615e3fe,"Sägetechniken","K 010202-048","Sägen",skos:closeMatch,
http://data.europa.eu/esco/skill/00c85cbc-2b24-4605-a6fe-55b5c615e3fe,"Sägetechniken","K 010700-001","Bandsägearbeiten",skos:broadMatch,
http://data.europa.eu/esco/skill/00c85cbc-2b24-4605-a6fe-55b5c615e3fe,"Sägetechniken","K 010700-003","Gattersägearbeiten",skos:broadMatch,
