Mapping project name,ESCO - SI NOC
Mapping project author,default-author
Mapping project version,N/A
Mapping project version date,2022-06-03
Classification 1 Name,Poklici ESCO
Classification 1 Concept type,Occupation
Classification 1 Version,1.0.8
Classification 1 Language,sl
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation
Classification 2 Name,Slovenščina poklice
Classification 2 Concept type,Occupation
Classification 2 Version,07.2021
Classification 2 Language,sl
Classification 2 Landing page,


Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 ID,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,vojaški častnik/vojaška častnica,http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,2379,Častnik za finančne zadeve,,skos:narrowMatch
http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,vojaški častnik/vojaška častnica,http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,2391,Častnik za kadrovske zadeve,,skos:narrowMatch
http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,vojaški častnik/vojaška častnica,http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,2392,Častnik za obveščevalne zadeve,,skos:narrowMatch
http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,vojaški častnik/vojaška častnica,http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,2393,Častnik za oskrbo,,skos:narrowMatch
http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,vojaški častnik/vojaška častnica,http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,2394,Častnik za premike in transporte,,skos:narrowMatch
http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,vojaški častnik/vojaška častnica,http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,2395,Častnik za varnostne in protiobveščevalne  zadeve,,skos:narrowMatch
http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,vojaški častnik/vojaška častnica,http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,2396,Častnik za vzdrževanje,,skos:narrowMatch
http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,vojaški častnik/vojaška častnica,http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,2397,Častnik za zdravstveno oskrbo,,skos:narrowMatch
http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,vojaški častnik/vojaška častnica,http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,2398,Častnik zvez,,skos:narrowMatch
http://data.europa.eu/esco/occupation/1de91afd-9da2-47ab-a7e7-19bf931709a4,podčastnik/podčastnica posebne enote,http://data.europa.eu/esco/occupation/1de91afd-9da2-47ab-a7e7-19bf931709a4,9,Podčastnik,,skos:broadMatch
http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,podčastnik specialist/podčastnica specialistka,http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,9,Podčastnik,,skos:broadMatch
http://data.europa.eu/esco/occupation/cb3b2662-774a-4e6f-841e-f120244d7031,vodnik/vodnica,http://data.europa.eu/esco/occupation/cb3b2662-774a-4e6f-841e-f120244d7031,9,Podčastnik,,skos:broadMatch
http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,podčastnik specialist/podčastnica specialistka,http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,2399,Podčastnik artilerije,,skos:narrowMatch
http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,podčastnik specialist/podčastnica specialistka,http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,2400,Podčastnik informatike,,skos:narrowMatch
http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,podčastnik specialist/podčastnica specialistka,http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,2401,Podčastnik inženirstva,,skos:narrowMatch
http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,podčastnik specialist/podčastnica specialistka,http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,2402,Podčastnik JRKBO,,skos:narrowMatch
http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,podčastnik specialist/podčastnica specialistka,http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,2403,Podčastnik letalstva,,skos:narrowMatch
http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,podčastnik specialist/podčastnica specialistka,http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,2404,Podčastnik nadzora zračnega prostora,,skos:narrowMatch
http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,podčastnik specialist/podčastnica specialistka,http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,2405,Podčastnik oklepnih enot,,skos:narrowMatch
http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,podčastnik specialist/podčastnica specialistka,http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,2406,Podčastnik pehote,,skos:narrowMatch
http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,podčastnik specialist/podčastnica specialistka,http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,2407,Podčastnik pomorstva (mornar),,skos:narrowMatch
http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,podčastnik specialist/podčastnica specialistka,http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,2408,Podčastnik protizračne obrambe,,skos:narrowMatch
http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,podčastnik specialist/podčastnica specialistka,http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,2409,Podčastnik za administrativne zadeve,,skos:narrowMatch
http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,podčastnik specialist/podčastnica specialistka,http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,2410,Podčastnik za finančne zadeve,,skos:narrowMatch
http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,podčastnik specialist/podčastnica specialistka,http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,2411,Podčastnik za kadrovske zadeve,,skos:narrowMatch
http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,podčastnik specialist/podčastnica specialistka,http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,2412,Podčastnik za obveščevalne zadeve,,skos:narrowMatch
http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,podčastnik specialist/podčastnica specialistka,http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,2413,Podčastnik za oskrbo,,skos:narrowMatch
http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,podčastnik specialist/podčastnica specialistka,http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,2414,Podčastnik za premike in transporte,,skos:narrowMatch
http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,podčastnik specialist/podčastnica specialistka,http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,2415,Podčastnik za varnostne in protiobveščevalne  zadeve,,skos:narrowMatch
http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,podčastnik specialist/podčastnica specialistka,http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,2416,Podčastnik za vzdrževanje materialnotehničnih sredstev,,skos:narrowMatch
http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,podčastnik specialist/podčastnica specialistka,http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,2417,Podčastnik za zdravstveno oskrbo,,skos:narrowMatch
http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,podčastnik specialist/podčastnica specialistka,http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,2418,Podčastnik zvez,,skos:narrowMatch
http://data.europa.eu/esco/occupation/35e67944-231e-4bc9-8c69-560f203167ff,vezist/vezistka,http://data.europa.eu/esco/occupation/35e67944-231e-4bc9-8c69-560f203167ff,13,Vojak,,skos:broadMatch
http://data.europa.eu/esco/occupation/4a3f40a8-0587-494c-b8d3-7098b8c5992f,naddesetnik/naddesetnica,http://data.europa.eu/esco/occupation/4a3f40a8-0587-494c-b8d3-7098b8c5992f,13,Vojak,,skos:broadMatch
http://data.europa.eu/esco/occupation/555235ce-8c45-409b-a6c9-83e69c2d2bce,vojak/vojakinja inženirstva,http://data.europa.eu/esco/occupation/555235ce-8c45-409b-a6c9-83e69c2d2bce,13,Vojak,,skos:broadMatch
http://data.europa.eu/esco/occupation/bd5a2f44-fc06-45fd-909b-3a4001c8b8a3,vojak/vojakinja pehote,http://data.europa.eu/esco/occupation/bd5a2f44-fc06-45fd-909b-3a4001c8b8a3,13,Vojak,,skos:broadMatch
http://data.europa.eu/esco/occupation/c94dc5b2-6b23-4915-8de5-a4e6ae86d802,vojaški pilot/vojaška pilotka,http://data.europa.eu/esco/occupation/c94dc5b2-6b23-4915-8de5-a4e6ae86d802,13,Vojak,,skos:broadMatch
http://data.europa.eu/esco/occupation/fdc8adfb-1807-4146-98ae-3a26fbe19996,bombni tehnik/bombna tehnica,http://data.europa.eu/esco/occupation/fdc8adfb-1807-4146-98ae-3a26fbe19996,13,Vojak,,skos:broadMatch
http://data.europa.eu/esco/occupation/bd5a2f44-fc06-45fd-909b-3a4001c8b8a3,vojak/vojakinja pehote,http://data.europa.eu/esco/occupation/bd5a2f44-fc06-45fd-909b-3a4001c8b8a3,2419,Vojak artilerije,,skos:narrowMatch
http://data.europa.eu/esco/occupation/bd5a2f44-fc06-45fd-909b-3a4001c8b8a3,vojak/vojakinja pehote,http://data.europa.eu/esco/occupation/bd5a2f44-fc06-45fd-909b-3a4001c8b8a3,2420,Vojak informatike,,skos:narrowMatch
http://data.europa.eu/esco/occupation/555235ce-8c45-409b-a6c9-83e69c2d2bce,vojak/vojakinja inženirstva,http://data.europa.eu/esco/occupation/555235ce-8c45-409b-a6c9-83e69c2d2bce,2421,Vojak inženirstva,,skos:exactMatch
