Mapping project name,ESCO - ROME
Mapping project author,Pôle emploi - France
Mapping project version,V1.4
Mapping project version date,13/07/2022
Classification 1 Name,ESCO
Classification 1 Concept type,occupation
Classification 1 Version,1.1
Classification 1 Language,fr
Classification 1 Landing page,https://esco.ec.europa.eu/fr/classification/occupation_main
Classification 2 Name,ROME 
Classification 2 Concept type,occupation
Classification 2 Version,V3.0
Classification 2 Language,fr
Classification 2 Landing page,https://www.pole-emploi.fr/employeur/vos-recrutements/le-rome-et-les-fiches-metiers.html


classification 1 ID,classification 1 prefered label,classification 2 ID,classification 2 prefered label,mapping relation
http://data.europa.eu/esco/occupation/fa30c1cb-dbc5-409c-8124-7284592b123c,élagueur/élagueuse,14608,Élagueur / Élagueuse,skos:exactMatch
http://data.europa.eu/esco/occupation/fa30c1cb-dbc5-409c-8124-7284592b123c,élagueur/élagueuse,14609,Élagueur / Élagueuse espaces verts,skos:broadMatch
http://data.europa.eu/esco/occupation/fa30c1cb-dbc5-409c-8124-7284592b123c,élagueur/élagueuse,14610,Élagueur-botteur / Élagueuse-botteuse,skos:broadMatch
http://data.europa.eu/esco/occupation/fa30c1cb-dbc5-409c-8124-7284592b123c,élagueur/élagueuse,14611,Élagueur-grimpeur / Élagueuse-grimpeuse,skos:broadMatch
http://data.europa.eu/esco/occupation/fa30c1cb-dbc5-409c-8124-7284592b123c,élagueur/élagueuse,15429,Grimpeur-élagueur / Grimpeuse-élagueuse,skos:broadMatch
http://data.europa.eu/esco/occupation/773cf1de-50a4-42e7-bab1-e68dcbae3f54,ouvrier forestier/ouvrière forestière,17483,Ouvrier / Ouvrière d'exploitation forestière,skos:exactMatch
http://data.europa.eu/esco/occupation/773cf1de-50a4-42e7-bab1-e68dcbae3f54,ouvrier forestier/ouvrière forestière,38435,Homme / Femme de pied,skos:broadMatch
http://data.europa.eu/esco/occupation/a48b9a5a-5ded-482d-8cda-7fd097a32c16,agent d’entretien des espaces verts/agente d’entretien des espaces verts,10382,Agent / Agente d'aménagement des circuits pédestres équestres et Vtt,skos:closeMatch
http://data.europa.eu/esco/occupation/a48b9a5a-5ded-482d-8cda-7fd097a32c16,agent d’entretien des espaces verts/agente d’entretien des espaces verts,10383,Agent / Agente d'aménagement des haies et fossés,skos:closeMatch
http://data.europa.eu/esco/occupation/a48b9a5a-5ded-482d-8cda-7fd097a32c16,agent d’entretien des espaces verts/agente d’entretien des espaces verts,10664,Agent / Agente d'entretien de la nature,skos:closeMatch
http://data.europa.eu/esco/occupation/a48b9a5a-5ded-482d-8cda-7fd097a32c16,agent d’entretien des espaces verts/agente d’entretien des espaces verts,10667,Agent / Agente d'entretien de l'espace rural,skos:closeMatch
http://data.europa.eu/esco/occupation/a48b9a5a-5ded-482d-8cda-7fd097a32c16,agent d’entretien des espaces verts/agente d’entretien des espaces verts,10673,Agent / Agente d'entretien des espaces naturels,skos:closeMatch
http://data.europa.eu/esco/occupation/a48b9a5a-5ded-482d-8cda-7fd097a32c16,agent d’entretien des espaces verts/agente d’entretien des espaces verts,10677,Agent / Agente d'entretien des rivières,skos:closeMatch
http://data.europa.eu/esco/occupation/a48b9a5a-5ded-482d-8cda-7fd097a32c16,agent d’entretien des espaces verts/agente d’entretien des espaces verts,10685,Agent / Agente d'entretien nature du littoral,skos:closeMatch
http://data.europa.eu/esco/occupation/e011f10f-e172-43ce-bfd9-fb56e426c0c9,agent technique forestier/agente technique forestière,12440,Chef d'équipe d'entretien d'espaces naturels,skos:closeMatch
http://data.europa.eu/esco/occupation/a48b9a5a-5ded-482d-8cda-7fd097a32c16,agent d’entretien des espaces verts/agente d’entretien des espaces verts,17474,Ouvrier / Ouvrière d'entretien des espaces naturels,skos:closeMatch
http://data.europa.eu/esco/occupation/a48b9a5a-5ded-482d-8cda-7fd097a32c16,agent d’entretien des espaces verts/agente d’entretien des espaces verts,200080,Ouvrier / Ouvrière de génie écologique,skos:closeMatch
http://data.europa.eu/esco/occupation/a48b9a5a-5ded-482d-8cda-7fd097a32c16,agent d’entretien des espaces verts/agente d’entretien des espaces verts,38323,Agent / Agente d'entretien nature et biodiversité,skos:closeMatch
http://data.europa.eu/esco/occupation/a48b9a5a-5ded-482d-8cda-7fd097a32c16,agent d’entretien des espaces verts/agente d’entretien des espaces verts,10675,Agent / Agente d'entretien des parcs et jardins,skos:broadMatch
http://data.europa.eu/esco/occupation/e7970c7a-7769-4002-87d3-0a8ea94fdd6f,jardinier paysagiste/jardinière paysagiste,12439,Chef d'équipe d'entretien des espaces verts,skos:narrowMatch
http://data.europa.eu/esco/occupation/98af7387-3974-457a-aa57-5397d1ea3949,paysagiste d’intérieur,12482,Chef d'équipe paysagiste,skos:closeMatch
http://data.europa.eu/esco/occupation/e7970c7a-7769-4002-87d3-0a8ea94fdd6f,jardinier paysagiste/jardinière paysagiste,16067,Jardinier / Jardinière,skos:narrowMatch
http://data.europa.eu/esco/occupation/e7970c7a-7769-4002-87d3-0a8ea94fdd6f,jardinier paysagiste/jardinière paysagiste,16068,Jardinier / Jardinière d'espaces verts,skos:closeMatch
http://data.europa.eu/esco/occupation/e7970c7a-7769-4002-87d3-0a8ea94fdd6f,jardinier paysagiste/jardinière paysagiste,16069,Jardinier / Jardinière paysagiste,skos:exactMatch
http://data.europa.eu/esco/occupation/a48b9a5a-5ded-482d-8cda-7fd097a32c16,agent d’entretien des espaces verts/agente d’entretien des espaces verts,17475,Ouvrier / Ouvrière d'entretien des espaces verts,skos:closeMatch
http://data.europa.eu/esco/occupation/a48b9a5a-5ded-482d-8cda-7fd097a32c16,agent d’entretien des espaces verts/agente d’entretien des espaces verts,17480,Ouvrier / Ouvrière des espaces verts,skos:narrowMatch
http://data.europa.eu/esco/occupation/a48b9a5a-5ded-482d-8cda-7fd097a32c16,agent d’entretien des espaces verts/agente d’entretien des espaces verts,17487,Ouvrier / Ouvrière du paysage,skos:broadMatch
http://data.europa.eu/esco/occupation/a48b9a5a-5ded-482d-8cda-7fd097a32c16,agent d’entretien des espaces verts/agente d’entretien des espaces verts,17515,Ouvrier / Ouvrière paysagiste,skos:broadMatch
http://data.europa.eu/esco/occupation/98af7387-3974-457a-aa57-5397d1ea3949,paysagiste d’intérieur,38077,Technicien / Technicienne paysagiste,skos:narrowMatch
http://data.europa.eu/esco/occupation/a10eb17a-3c78-4f7a-a1da-8f31146339d3,aide jardinier/aide jardinière,38436,Aide jardinier / jardinière,skos:narrowMatch
http://data.europa.eu/esco/occupation/a10eb17a-3c78-4f7a-a1da-8f31146339d3,aide jardinier/aide jardinière,38437,Manoeuvre des espaces verts,skos:narrowMatch
http://data.europa.eu/esco/occupation/e3cc09ba-7ad5-4411-940c-20613000863a,agent chargé de protection et sauvegarde du patrimoine naturel/agente chargée de protection et sauvegarde du patrimoine naturel,10358,Agent chargé / Agente chargée de protection et de sauvegarde du patrimoine naturel,skos:exactMatch
http://data.europa.eu/esco/occupation/e011f10f-e172-43ce-bfd9-fb56e426c0c9,agent technique forestier/agente technique forestière,10780,Agent / Agente technique des parcs nationaux,skos:broadMatch
http://data.europa.eu/esco/occupation/f489b1ec-3d6c-44b1-b1d7-c6c97db7df30,garde forestier/ garde forestière,14562,Eco garde,skos:closeMatch
http://data.europa.eu/esco/occupation/f489b1ec-3d6c-44b1-b1d7-c6c97db7df30,garde forestier/ garde forestière,15195,Garde de parc naturel,skos:closeMatch
http://data.europa.eu/esco/occupation/e3cc09ba-7ad5-4411-940c-20613000863a,agent chargé de protection et sauvegarde du patrimoine naturel/agente chargée de protection et sauvegarde du patrimoine naturel,15198,Garde du littoral,skos:closeMatch
http://data.europa.eu/esco/occupation/f489b1ec-3d6c-44b1-b1d7-c6c97db7df30,garde forestier/ garde forestière,15199,Garde forestier / forestière,skos:exactMatch
http://data.europa.eu/esco/occupation/e011f10f-e172-43ce-bfd9-fb56e426c0c9,agent technique forestier/agente technique forestière,15200,Garde moniteur / monitrice de parc national,skos:closeMatch
http://data.europa.eu/esco/occupation/e011f10f-e172-43ce-bfd9-fb56e426c0c9,agent technique forestier/agente technique forestière,15201,Garde moniteur / monitrice de parc naturel,skos:closeMatch
http://data.europa.eu/esco/occupation/a491c5c1-e126-4414-9ac9-3625a4a79513,garde-chasse,15202,Garde national / nationale de la chasse et de la faune sauvage,skos:closeMatch
http://data.europa.eu/esco/occupation/e3cc09ba-7ad5-4411-940c-20613000863a,agent chargé de protection et sauvegarde du patrimoine naturel/agente chargée de protection et sauvegarde du patrimoine naturel,15204,Garde technicien / technicienne de réserve naturelle,skos:closeMatch
http://data.europa.eu/esco/occupation/a491c5c1-e126-4414-9ac9-3625a4a79513,garde-chasse,15205,Garde-chasse,skos:exactMatch
http://data.europa.eu/esco/occupation/a491c5c1-e126-4414-9ac9-3625a4a79513,garde-chasse,15206,Garde-chasse particulier / particulière,skos:broadMatch
http://data.europa.eu/esco/occupation/e3cc09ba-7ad5-4411-940c-20613000863a,agent chargé de protection et sauvegarde du patrimoine naturel/agente chargée de protection et sauvegarde du patrimoine naturel,15208,Garde-pêche,skos:closeMatch
http://data.europa.eu/esco/occupation/e3cc09ba-7ad5-4411-940c-20613000863a,agent chargé de protection et sauvegarde du patrimoine naturel/agente chargée de protection et sauvegarde du patrimoine naturel,15210,Garde-rivière,skos:closeMatch
http://data.europa.eu/esco/occupation/e3cc09ba-7ad5-4411-940c-20613000863a,agent chargé de protection et sauvegarde du patrimoine naturel/agente chargée de protection et sauvegarde du patrimoine naturel,19706,Technicien / Technicienne cynégétique,skos:closeMatch
http://data.europa.eu/esco/occupation/c3fc5265-6333-483f-9339-b4b860efa08d,observateur de pêche/observatrice de pêche,200100,Observateur / Observatrice des pêches,skos:exactMatch
http://data.europa.eu/esco/occupation/e3cc09ba-7ad5-4411-940c-20613000863a,agent chargé de protection et sauvegarde du patrimoine naturel/agente chargée de protection et sauvegarde du patrimoine naturel,38379,Technicien / Technicienne de rivière,skos:closeMatch
http://data.europa.eu/esco/occupation/fbf3aefb-70ff-440b-8724-bac3ed5e2c93,technicien forestier/technicienne forestière,10514,Agent / Agente de maîtrise d'exploitation forestière,skos:closeMatch
http://data.europa.eu/esco/occupation/e011f10f-e172-43ce-bfd9-fb56e426c0c9,agent technique forestier/agente technique forestière,10795,Agent technique forestier / Agente technique forestière,skos:exactMatch
http://data.europa.eu/esco/occupation/f04eaeff-52f5-4d52-93ad-6f846884827f,forestier,12136,Chef de district forestier,skos:closeMatch
